from,to,n
Lyndon Johnson,Lyndon B. Johnson,25
Gene Kelly,Fred Astaire,25
Thomas E. Dewey,Nelson A. Rockefeller,25
Sammy Davis Jr.,Dean Martin,25
Martha Graham,Doris Humphrey,24
Sam Snead,Ben Hogan,24
Mario M. Cuomo,John V. Lindsay,24
Richard M. Nixon,George McGovern,24
Vladimir V. Putin,Mikhail S. Gorbachev,24
Jimmy Carter,Edward M. Kennedy,24
Dizzy Gillespie,Coleman Hawkins,23
Martin Luther King Jr.,Jimmy Carter,23
Robert F. Wagner,Nelson A. Rockefeller,23
Nelson A. Rockefeller,Mario M. Cuomo,23
Lyndon B. Johnson,Henry A. Kissinger,23
Jimmy Carter,Harry S. Truman,23
Frank Sinatra,Barbra Streisand,23
Merce Cunningham,Martha Graham,23
Lyndon B. Johnson,Edward M. Kennedy,23
Joseph R. McCarthy,Dwight D. Eisenhower,23
John F. Kennedy,Jack Ruby,23
Jackie Robinson,Branch Rickey,23
Robert F. Wagner,Abraham D. Beame,23
Rudolph W. Giuliani,Edward I. Koch,23
Nelson A. Rockefeller,Franklin D. Roosevelt,23
Hugh L. Carey,Edward I. Koch,23
Tommy Dorsey,Frank Sinatra,22
Tennessee Williams,Arthur Miller,22
Nelson A. Rockefeller,Jimmy Carter,22
Martin Luther King Jr.,Coretta Scott King,22
Jessica Tandy,Hume Cronyn,22
Louis Armstrong,Ella Fitzgerald,22
James Cagney,Humphrey Bogart,22
Vladimir V. Putin,Boris N. Yeltsin,22
Jawaharlal Nehru,Indira Gandhi,22
Lyndon B. Johnson,John V. Lindsay,22
Jerome Robbins,George Balanchine,22
Winston Churchill,Harry S. Truman,22
Dizzy Gillespie,Benny Goodman,22
Richard M. Nixon,Nikita S. Khrushchev,22
Robert S. McNamara,John F. Kennedy,21
Gracie Allen,George Burns,21
Ronald Reagan,Robert H. Bork,21
Martha Graham,George Balanchine,21
Billie Holiday,Benny Goodman,21
Martin Luther King Jr.,Bill Clinton,21
Hugh L. Carey,Abraham D. Beame,21
Marilyn Monroe,Elizabeth Taylor,21
John Coltrane,Charlie Parker,21
John V. Lindsay,David N. Dinkins,21
Richard M. Nixon,John D. Ehrlichman,21
Lyndon B. Johnson,George W. Bush,21
Joan Baez,Bob Dylan,21
Bruce Springsteen,Bob Dylan,21
Joe DiMaggio,Babe Ruth,21
Ronald Reagan,George H. W. Bush,21
Richard Nixon,Richard M. Nixon,21
Ella Fitzgerald,Billie Holiday,21
Robert Kennedy,John F. Kennedy,21
Richard M. Nixon,John V. Lindsay,21
Laurence Olivier,John Gielgud,20
Jason Robards,Colleen Dewhurst,20
Ralph Richardson,John Gielgud,20
Carl Bernstein,Bob Woodward,20
Frank Sinatra,Doris Day,20
Spencer Tracy,Clark Gable,20
Sam Rayburn,Lyndon B. Johnson,20
Merv Griffin,Johnny Carson,20
Jimmy Carter,George W. Bush,20
James Bond,Ian Fleming,20
Henry A. Kissinger,Gerald R. Ford,20
Nelson A. Rockefeller,Abraham D. Beame,20
Perry Como,Frank Sinatra,20
Robert Redford,Paul Newman,20
Jimmy Carter,Franklin D. Roosevelt,20
Winston Churchill,Franklin D. Roosevelt,20
Pete Seeger,Joan Baez,20
Lyndon B. Johnson,Adlai E. Stevenson,20
Marilyn Monroe,Frank Sinatra,20
John F. Kennedy,Barry Goldwater,20
Lester Young,Charlie Parker,20
Ella Fitzgerald,Charlie Parker,20
Nikita S. Khrushchev,Leonid I. Brezhnev,20
Nat King Cole,Frank Sinatra,20
Louis Armstrong,Charlie Parker,20
Sarah Vaughan,Charlie Parker,20
John Coltrane,Dizzy Gillespie,20
Mikhail S. Gorbachev,Leonid I. Brezhnev,20
John V. Lindsay,Hugh L. Carey,20
Martin Luther King Jr.,John Lewis,20
Fred Astaire,Frank Sinatra,20
Nelson A. Rockefeller,Edward I. Koch,20
John F. Kennedy,Eleanor Roosevelt,20
Leonard Bernstein,Harold C. Schonberg,20
Edward M. Kennedy,Bill Clinton,20
Jimmy Carter,Hubert H. Humphrey,20
Mark Rothko,Jackson Pollock,19
Richard M. Nixon,Archibald Cox,19
Dwight D. Eisenhower,Adlai E. Stevenson,19
Spiro T. Agnew,Gerald R. Ford,19
Jerry Rubin,Abbie Hoffman,19
Michael Schwerner,Andrew Goodman,19
Sonny Liston,Muhammad Ali,19
Leonard Bernstein,Jerome Robbins,19
John F. Kennedy,George W. Bush,19
Elvis Presley,Bob Dylan,19
Peggy Lee,Frank Sinatra,19
Robert Kennedy,Lyndon B. Johnson,19
Lionel Hampton,Benny Goodman,19
Lyndon B. Johnson,George C. Wallace,19
Joseph R. McCarthy,John F. Kennedy,19
Ginger Rogers,Fred Astaire,19
Richard M. Nixon,Elliot L. Richardson,19
Dwight D. Eisenhower,Bill Clinton,19
Teddy Wilson,Benny Goodman,19
Thomas E. Dewey,Dwight D. Eisenhower,19
Gene Kelly,Frank Sinatra,19
Elizabeth Taylor,Audrey Hepburn,19
Stan Getz,Dizzy Gillespie,19
George Bush,Dwight D. Eisenhower,19
George W. Bush,George Bush,19
Sarah Vaughan,Dizzy Gillespie,19
Nelson A. Rockefeller,Dwight D. Eisenhower,19
Humphrey Bogart,Bette Davis,19
Frank Sinatra,Elizabeth Taylor,19
Marilyn Monroe,John F. Kennedy,19
Richard Burton,Laurence Olivier,19
Roy Lichtenstein,Jasper Johns,19
Ella Fitzgerald,Benny Goodman,18
Elvis Presley,Carl Perkins,18
Martin Luther King Jr.,James Earl Ray,18
Ronald Reagan,George P. Shultz,18
Katharine Hepburn,Elizabeth Taylor,18
Robert H. Bork,Richard M. Nixon,18
Joan Crawford,Clark Gable,18
Roy Lichtenstein,Robert Rauschenberg,18
Thomas E. Dewey,Richard M. Nixon,18
Max Roach,Dizzy Gillespie,18
Johnny Carson,Jack Paar,18
Harry S. Truman,Eleanor Roosevelt,18
Jerry Lewis,Frank Sinatra,18
Pete Seeger,Bob Dylan,18
Frank Sinatra,Bob Hope,18
Willie Nelson,Elvis Presley,18
Sonny Liston,Cassius Clay,18
Boris Spassky,Bobby Fischer,18
Coleman Hawkins,Charlie Parker,18
Milton Berle,Bob Hope,18
Richard M. Nixon,Adlai E. Stevenson,18
Walter F. Mondale,Jimmy Carter,18
Lyndon Johnson,John F. Kennedy,18
Richard M. Nixon,Fidel Castro,18
Charlie Parker,Charles Mingus,18
Willie Nelson,Johnny Cash,18
Edward Weston,Ansel Adams,18
Mario M. Cuomo,David N. Dinkins,18
Ronald Reagan,Margaret Thatcher,18
Robert F. Kennedy,Hubert H. Humphrey,18
Robert F. Kennedy,Nelson A. Rockefeller,18
Jack Nicklaus,Arnold Palmer,18
Robert F. Kennedy,Bill Clinton,18
Tennessee Williams,Edward Albee,18
Elvis Presley,Bing Crosby,18
Malcolm Wilson,Hugh L. Carey,18
Sarah Vaughan,Frank Sinatra,18
John Kennedy,John F. Kennedy,17
Yitzhak Rabin,Yasir Arafat,17
Muhammad Ali,George Foreman,17
Gene Krupa,Benny Goodman,17
Jasper Johns,Frank Stella,17
Harry James,Frank Sinatra,17
Paul McCartney,John Lennon,17
Nikita S. Khrushchev,Dwight D. Eisenhower,17
Zhao Ziyang,Deng Xiaoping,17
John Paul II,Benedict XVI,17
Ralph Richardson,Laurence Olivier,17
Gerald R. Ford,Bill Clinton,17
Monica Lewinsky,Bill Clinton,17
Vivien Leigh,Laurence Olivier,17
Martha Graham,Jose Limon,17
Ray Charles,Elvis Presley,17
Byron Nelson,Ben Hogan,17
Mario M. Cuomo,George E. Pataki,17
Jimi Hendrix,Bob Dylan,17
Walter Cronkite,Dan Rather,17
Elvis Presley,Aretha Franklin,17
Gerald R. Ford,Barry Goldwater,17
Bill Clinton,Barack Obama,17
Muhammad Ali,Joe Frazier,17
Harry S. Truman,Douglas MacArthur,17
Louis Armstrong,Billie Holiday,17
Roger Moore,James Bond,17
Hillary Rodham Clinton,Bill Clinton,17
Perry Como,Bing Crosby,17
Kirk Douglas,Burt Lancaster,17
Louis Armstrong,Frank Sinatra,17
Zhou Enlai,Mao Zedong,17
Queen Elizabeth II,Margaret Thatcher,17
Zubin Mehta,Leonard Bernstein,16
Nelson A. Rockefeller,Jacob K. Javits,16
Wilson Pickett,Aretha Franklin,16
Sarah Vaughan,Billie Holiday,16
Jose Limon,Doris Humphrey,16
Nelson A. Rockefeller,Barry Goldwater,16
Ronald Reagan,Fidel Castro,16
Dizzy Gillespie,Charles Mingus,16
Jimmy Carter,George McGovern,16
Louis Armstrong,Benny Carter,16
Yogi Berra,Casey Stengel,16
William Carlos Williams,Ezra Pound,16
John F. Kennedy,Henry A. Kissinger,16
Martin Luther King Jr.,Ku Klux Klan,16
John F. Kennedy,Earl Warren,16
Spencer Tracy,Humphrey Bogart,16
John Wayne,Henry Fonda,16
John Coltrane,Charles Mingus,16
Martha Graham,Hanya Holm,16
Walter F. Mondale,Ronald Reagan,16
William Shawn,Harold Ross,16
Jack Benny,George Burns,16
Robert F. Kennedy,Jacqueline Kennedy,16
Tony Awards,Tony Award,16
Robert F. Kennedy,John V. Lindsay,16
Johnny Cash,Bob Dylan,16
Lyndon B. Johnson,Jacqueline Kennedy,16
Ringo Starr,George Harrison,16
Marlon Brando,James Dean,16
Pierre Boulez,Leonard Bernstein,16
Richard M. Nixon,Barry M. Goldwater,16
Woody Herman,Stan Kenton,16
Rosa Parks,Martin Luther King Jr.,16
Irving Berlin,Cole Porter,16
Wilt Chamberlain,Bill Russell,16
Whittaker Chambers,Alger Hiss,16
William F. Buckley Jr.,Ronald Reagan,16
Robert Rauschenberg,John Cage,16
Rudolph W. Giuliani,John V. Lindsay,16
Humphrey Bogart,Clark Gable,16
John XXIII,John Paul II,16
Sonny Rollins,Charlie Parker,16
Walter Matthau,Jack Lemmon,16
Pete Seeger,Alan Lomax,16
Katharine Hepburn,Cary Grant,16
Mikhail Baryshnikov,George Balanchine,16
Jimi Hendrix,Janis Joplin,16
Richard M. Nixon,Bob Woodward,16
Marlon Brando,Elia Kazan,16
Nelson Riddle,Frank Sinatra,15
Sam Phillips,Elvis Presley,15
Roy Campanella,Jackie Robinson,15
George Harrison,Eric Clapton,15
George Gershwin,Cole Porter,15
