from,to,n
Mohandas K. Gandhi,Jawaharlal Nehru,12
Liza Minnelli,Frank Sinatra,12
Sonny Rollins,John Coltrane,12
Ronald Reagan,Edward I. Koch,12
Calvin Klein,Bill Blass,12
Sonny Rollins,Miles Davis,12
Stevie Wonder,Marvin Gaye,12
Mort Sahl,Lenny Bruce,12
Henry A. Kissinger,Bill Clinton,12
John F. Kennedy,James Reston,12
Marilyn Monroe,Joan Crawford,12
Ku Klux Klan,John F. Kennedy,12
Eli Wallach,Anne Jackson,12
Herbert Hoover,Dwight D. Eisenhower,12
John F. Kennedy Jr.,Jacqueline Kennedy,12
Ben Hogan,Arnold Palmer,12
Vincent R. Impellitteri,Robert F. Wagner,12
Yogi Berra,Whitey Ford,12
Walt Frazier,Earl Monroe,12
Roy Eldridge,Dizzy Gillespie,12
Mary Jo Kopechne,Edward M. Kennedy,12
Miles Davis,Gil Evans,12
Richard M. Nixon,Arthur Ochs Sulzberger,12
Gwen Verdon,Bob Fosse,12
Jerry Lee Lewis,Carl Perkins,12
Ingrid Bergman,Humphrey Bogart,12
Orson Welles,Bette Davis,12
Charlie Parker,Ben Webster,12
George Steinbrenner,Billy Martin,12
Lana Turner,Judy Garland,12
Miles Davis,Max Roach,12
Muhammad Ali,Joe Louis,12
Winston Churchill,Queen Elizabeth II,12
Elizabeth Taylor,Barbra Streisand,12
Marlon Brando,Henry Fonda,12
Spencer Tracy,Frank Sinatra,12
Nikita S. Khrushchev,Lyndon B. Johnson,12
Walter Cronkite,Don Hewitt,12
Ronald Reagan,John Wayne,12
Orson Welles,Citizen Kane,12
Hank Williams,Elvis Presley,12
Jasper Johns,James Rosenquist,12
Ella Fitzgerald,Bing Crosby,12
Louis Armstrong,Earl Hines,12
Tony Blair,Margaret Thatcher,12
John Wayne,Frank Sinatra,12
John F. Kennedy,Arthur M. Schlesinger Jr.,12
Richard M. Nixon,John J. Sirica,12
Smokey Robinson,Marvin Gaye,12
Rex Harrison,Henry Higgins,12
Tony Curtis,Burt Lancaster,12
James Stewart,Cary Grant,12
James Cagney,Edward G. Robinson,12
Richard M. Nixon,Herbert Hoover,12
Mel Brooks,Carl Reiner,12
Martin Luther King Jr.,Franklin D. Roosevelt,12
Robert Moses,Nelson A. Rockefeller,12
Irving Berlin,George Gershwin,12
Louis Armstrong,Bessie Smith,12
Harry S. Truman,Bill Clinton,12
Edward Albee,Arthur Miller,12
Woody Herman,Charlie Parker,12
Sonny Terry,Brownie McGhee,12
Gerald R. Ford,Franklin D. Roosevelt,12
Joseph P. Kennedy,John F. Kennedy,12
Ronald Reagan,John Paul II,12
Lyndon B. Johnson,Lady Bird Johnson,12
Jose Quintero,Jason Robards,12
George H. W. Bush,Bill Clinton,12
Richard Burton,Katharine Hepburn,12
Kenny Clarke,Charlie Parker,12
George Harrison,Bob Dylan,12
Madeleine K. Albright,Bill Clinton,12
Queen Elizabeth II,George VI,12
Tito Puente,Dizzy Gillespie,12
Richard M. Nixon,Ku Klux Klan,12
Milton Berle,Jack Benny,12
Richard M. Nixon,Douglas MacArthur,11
Spiro T. Agnew,Jimmy Carter,11
Warren Beatty,Paul Newman,11
John Lennon,Brian Epstein,11
Willie Nelson,Bob Dylan,11
Fred Astaire,Cary Grant,11
Gregory Peck,Frank Sinatra,11
Sarah Vaughan,Billy Eckstine,11
Thomas E. Dewey,John F. Kennedy,11
Robert Motherwell,Hans Hofmann,11
Humphrey Bogart,Burt Lancaster,11
Marilyn Monroe,James Dean,11
Ronald Reagan,Henry Kissinger,11
Jack Benny,Bob Hope,11
Jasper Johns,Ellsworth Kelly,11
Rudolf Bing,James Levine,11
Woody Allen,Lenny Bruce,11
Virgil Thomson,Leonard Bernstein,11
Sidney Poitier,Harry Belafonte,11
Frank Sinatra,Artie Shaw,11
Tennessee Williams,Marlon Brando,11
Martin Luther King Jr.,Jim Crow,11
Robert F. Kennedy,George C. Wallace,11
Harold Clurman,Elia Kazan,11
George Balanchine,Anna Kisselgoff,11
Sam Rayburn,Richard M. Nixon,11
Robert F. Wagner Jr.,Edward I. Koch,11
Woodrow Wilson,Franklin D. Roosevelt,11
Down Beat,Dizzy Gillespie,11
Don Hewitt,Dan Rather,11
Larry Rivers,Jasper Johns,11
David N. Dinkins,Charles B. Rangel,11
Frank Sinatra,Cary Grant,11
Fred W. Friendly,Edward R. Murrow,11
Louis Armstrong,Coleman Hawkins,11
Ronald Reagan,Bette Davis,11
Johnny Cash,Carl Perkins,11
Tommy Dorsey,Artie Shaw,11
Yogi Berra,Roger Maris,11
Laurence Olivier,Eugene O'Neill's,11
Henry Fonda,Gary Cooper,11
Jiang Qing,Deng Xiaoping,11
Doris Day,Dean Martin,11
Teddy Wilson,Billie Holiday,11
Louis Armstrong,Bing Crosby,11
Heisman Trophy,Frank Leahy,11
Willis Reed,Walt Frazier,11
Katharine Hepburn,Henry Fonda,11
Max Ernst,Marcel Duchamp,11
Norman Lear,Archie Bunker,11
Robert F. Wagner,Hugh L. Carey,11
Luciano Pavarotti,Joan Sutherland,11
Roy Wilkins,Martin Luther King Jr.,11
Merce Cunningham,George Balanchine,11
Jose Limon,Charles Weidman,11
Marilyn Monroe,Elvis Presley,11
Ray Charles,Aretha Franklin,11
Waylon Jennings,Johnny Cash,11
Robert F. Kennedy,Fidel Castro,11
Jimmy Carter,Bob Dole,11
Leonard Bernstein,Dimitri Mitropoulos,11
Orson Welles,Alfred Hitchcock,11
John Wayne,Cary Grant,11
Frank Stella,Andy Warhol,11
George Bush,Bob Dole,11
Arthur Ochs Sulzberger,Arthur Hays Sulzberger,11
John F. Kennedy,David Halberstam,11
Tom Hayden,Jerry Rubin,11
Johnny Carson,Dean Martin,11
Lyndon B. Johnson,Abe Fortas,11
Ronald Reagan,Hillary Rodham Clinton,11
Vladimir Horowitz,Jascha Heifetz,11
John F. Kennedy,Dean Martin,11
John Gielgud,Alec Guinness,11
Marlon Brando,Humphrey Bogart,11
Joni Mitchell,Bob Dylan,11
Roger Sessions,Milton Babbitt,11
Rex Harrison,Laurence Olivier,11
Katharine Hepburn,Greta Garbo,11
Thurgood Marshall,Bill Clinton,11
Richard M. Nixon,Jacob K. Javits,11
Samuel Beckett,Jean Genet,11
Elliot L. Richardson,Archibald Cox,11
Richard M. Nixon,Henry Kissinger,11
Johnny Carson,Ed Sullivan,11
Robert Rauschenberg,Ellsworth Kelly,11
John F. Kennedy,Edward R. Murrow,11
Marlon Brando,Elizabeth Taylor,11
Thomas F. Eagleton,Richard M. Nixon,11
Sam Huff,Andy Robustelli,11
Mike Nichols,Alan Arkin,11
James D. Watson,Francis Crick,11
Ella Fitzgerald,Art Tatum,11
Lyndon B. Johnson,Herbert Hoover,11
Sharon Tate,Charles Manson,11
Robert F. Wagner,Franklin D. Roosevelt,11
Richard M. Nixon,Mikhail S. Gorbachev,11
Hubert H. Humphrey,George McGovern,11
James Rosenquist,Andy Warhol,11
Fred Astaire,Cyd Charisse,11
Mel Torme,Ella Fitzgerald,11
John V. Lindsay,Dwight D. Eisenhower,11
Lena Horne,Frank Sinatra,11
Ray Charles,John Coltrane,11
Elvis Presley,Barbra Streisand,11
Glenn Miller,Frank Sinatra,11
Pauline Kael,Paul Newman,11
Robert Rauschenberg,Leo Castelli,11
Kris Kristofferson,Johnny Cash,11
Marilyn Monroe,John Wayne,11
Lana Turner,Clark Gable,11
Jasper Johns,Barnett Newman,11
Nelson A. Rockefeller,George Bush,11
Jackie Gleason,Art Carney,11
Mick Jagger,Keith Richards,11
John Profumo,Christine Keeler,11
Whitey Ford,Joe DiMaggio,11
Stan Getz,Miles Davis,11
Vladimir Horowitz,Leonard Bernstein,11
Marcel Duchamp,Man Ray,11
Doris Day,Bob Hope,11
Robert Motherwell,Franz Kline,11
Charles Mingus,Bud Powell,11
Paul Newman,Dustin Hoffman,11
Gary Cooper,Cary Grant,11
Earl Warren,Dwight D. Eisenhower,11
George W. Bush,Edward M. Kennedy,11
Mikhail Baryshnikov,Martha Graham,11
Kirk Douglas,Humphrey Bogart,11
Richard M. Nixon,George P. Shultz,11
Saddam Hussein,George Bush,11
Dizzy Gillespie,Billy Eckstine,11
Katharine Hepburn,Gary Cooper,11
Richard M. Nixon,Hillary Rodham Clinton,11
Leo Castelli,Jasper Johns,11
Robert Rauschenberg,Larry Rivers,11
Richard Rodgers,Leonard Bernstein,11
Ronald Reagan,Caspar W. Weinberger,11
Kenneth Koch,John Ashbery,11
Vincent Canby,Janet Maslin,11
John S. Wilson,Charlie Parker,11
Kenneth W. Starr,Bill Clinton,11
Michael R. Bloomberg,John V. Lindsay,11
James Joyce,Gertrude Stein,11
Tony Awards,David Merrick,11
John F. Kennedy,Arthur Ochs Sulzberger,11
Paul Scofield,John Gielgud,11
Vyacheslav M. Molotov,Nikita S. Khrushchev,11
Dwight D. Eisenhower,Abraham Lincoln,11
Hubert H. Humphrey,Adlai E. Stevenson,11
Zoot Sims,Stan Getz,10
Richard M. Nixon,Alan Greenspan,10
Jerome Robbins,George Abbott,10
Tony Blair,Queen Elizabeth II,10
Richard M. Nixon,Dan Rather,10
Gary Player,Arnold Palmer,10
Jerry Rubin,David Dellinger,10
Stan Getz,Lester Young,10
Richard M. Nixon,James R. Hoffa,10
Edward G. Robinson,Burt Lancaster,10
Louis Armstrong,Charles Mingus,10
Steve Lawrence,Eydie Gorme,10
Cary Grant,Burt Lancaster,10
George Szell,Eugene Ormandy,10
Ronald Reagan,John N. Mitchell,10
John Martin,Jerome Robbins,10
Max Ernst,Andre Breton,10
Orson Welles,John Huston,10
Shimon Peres,Benjamin Netanyahu,10
Ingemar Johansson,Floyd Patterson,10
Casey Stengel,Babe Ruth,10
Louis B. Mayer,Judy Garland,10
Maggie Smith,Laurence Olivier,10
Truman Capote,Tennessee Williams,10
Richard M. Nixon,Frank Sinatra,10
Marlon Brando,Jack Lemmon,10
Mark Rothko,Franz Kline,10
Humphrey Bogart,Gary Cooper,10
Steve Allen,Jack Paar,10
Noel Coward,Marlene Dietrich,10
Miles Davis,John Lewis,10
Sam Snead,Jack Nicklaus,10
Jerome Robbins,Antony Tudor,10
Martha Graham,Alvin Ailey,10
Sammy Davis Jr.,Peter Lawford,10
Ronald Reagan,George C. Wallace,10
Richard M. Nixon,Queen Elizabeth II,10
Ralph Abernathy,Martin Luther King Jr.,10
George Burns,Frank Sinatra,10
Richard M. Nixon,John Dean,10
Lena Horne,Ella Fitzgerald,10
Richard M. Nixon,John Paul II,10
John V. Lindsay,Gerald R. Ford,10
Ethel Merman,Barbra Streisand,10
Jimmy Carter,Gerald Ford,10
Richard M. Nixon,Abraham Lincoln,10
Louis Armstrong,Jelly Roll Morton,10
Spencer Tracy,Marilyn Monroe,10
John Kenneth Galbraith,John F. Kennedy,10
Richard M. Nixon,Henry Cabot Lodge,10
Spencer Tracy,Edward G. Robinson,10
Robert Moses,John V. Lindsay,10
Louis Armstrong,Fats Waller,10
Rudolph W. Giuliani,Al Sharpton,10
Hilton Kramer,David Smith,10
Jascha Heifetz,Fritz Kreisler,10
Marilyn Monroe,Henry Fonda,10
Theodore C. Sorensen,John F. Kennedy,10
Leonard Bernstein,Bruno Walter,10
Willie Mays,Leo Durocher,10
Shimon Peres,Menachem Begin,10
David Brinkley,Chet Huntley,10
Dizzy Gillespie,Clark Terry,10
Lyndon B. Johnson,Abraham Lincoln,10
Samuel Beckett,James Joyce,10
Rudolph W. Giuliani,Nelson A. Rockefeller,10
Richard Rodgers,Irving Berlin,10
Fred Astaire,Cole Porter,10
Katharine Hepburn,Edward G. Robinson,10
Jacques Chirac,Francois Mitterrand,10
Jimmy Carter,Fidel Castro,10
Woody Allen,Robin Williams,10
Spencer Tracy,James Cagney,10
Richard Burton,Marlon Brando,10
Jimmy Carter,Bert Lance,10
Yogi Berra,Don Larsen,10
Joe DiMaggio,Bill Dickey,10
Jean Genet,Eugene Ionesco,10
Jack Benny,Frank Sinatra,10
Jerome Kern,George Gershwin,10
William L. Shirer,Edward R. Murrow,10
Spencer Tracy,Burt Lancaster,10
Merce Cunningham,Jasper Johns,10
John Wayne,Dean Martin,10
Fidel Castro,Buenos Aires,10
