from,to
Porter Wagoner,Conway Twitty
Hilla Becher,Ileana Sonnabend
Arthur Gold,Virgil Thomson
May Sarton,Sheila Ballantyne
Joe Smith,Al Lewis
Enrique Martinez,Igor Schwezoff
Dorothy Collins,Snooky Lanson
Barney Kessel,Gjon Mili
Curtis Gans,Lyndon B. Johnson
Israel Kugler,Joseph T. Cahill
Winston Grennan,Dizzy Gillespie
Ronnie Scott,Sarah Vaughan
Ruby Dee,Bill Clinton
George P. Baker,John F. Kennedy
Alice Cutts Wainwright,Marjory Stoneman Douglas
Glenne Headly,Raul Julia
George Edmund Sandell,Frank Sinatra
Maury Allen,Billy Martin
George Starbuck,Archibald MacLeish
Douglas S. Morrow,June Allyson
Joseph T. Ryan,John Paul II
Lili Damita,Laurence Olivier
Philip M. Stern,John F. Kennedy
Ray Coleman,Rod Stewart
Harold Leventhal,Pete Seeger
Sarah Charlesworth,Douglas Huebler
Gladyce Largever Begelman,David Begelman
Theodore Solotaroff,Harold Brodkey
Hank Aguirre,Ernie Harwell
Lew Burdette,Joe Adcock
Terence Young,Douglas MacArthur
Pierre Salinger,Bill Clinton
Benny Newton,George Bush
Berry Fleming,Joan Bennett
Arne Ekstrom,Donald Barthelme
Roosevelt Sykes,Ray Charles
Martha Hill,Paul Taylor
Gene Cherico,Frank Sinatra
Aline Laveen MacMahon,Meryl Streep
John Hollander,Richard Poirier
Almir Chediak,Antonio Carlos Jobim
Leon Hess,Edward I. Koch
Paul Tortelier,Lorin Maazel
Harold Greenwald,Lucy Freeman
Joanne Grant,Julian Bond
Clarence Brown,Billy Wilder
Johnny Carson,Patti Page
Orlando Ramon,Buenos Aires
Eastern Europe,Woody Allen
Dean X Johnson,Marni Nixon
Charles E. Wiggins,Ross Macdonald
Chris Connor,Julie London
Elise Boulding,Kenneth Boulding
Ray Manzarek,Jim Morrison
Alan Manson,Barbra Streisand
Leonard Bernstein,Alan Jay Lerner
Harry Belafonte,Rosetta LeNoire
Peter Stone,Walter Kerr
Martha Holmes,Danny Kaye
Roger Smith,James Cagney
Casper Citron,Alfred Eisenstaedt
Roy Rogers,Abraham Lincoln
Jeremy Thorpe,Harold Macmillan
Allen Ginsberg,Eugene Brooks
Freddie Green,John Hammond
Udo Jrgens,Sammy Davis Jr.
Joachim Fest,Albert Speer
Al Morgan,Tony Randall
Richard Merkin,Tom Wolfe
Johnny Cash,Bob Dylan
Brian Aldiss,Elizabeth Wilson
Betsy Drake,Virginia Cherrill
R. Vance,Hamilton Jordan
Robert Pierpoint,Charles Kuralt
Lucille Lortel,Siobhan McKenna
Jane Preddy,Art Deco
Maureen Reagan,Elvis Presley
Ravi Shankar,Billy Preston
David Rampe,John Paul II
Gary Graver,Orson Welles
Gene Frankel,Harry Chapin
Russ Meyer,Vincent Canby
Paul Tripp,Danny Kaye
Arthur Bisguier,Larry Evans
Arthur Miller,Marilyn Monroe
Aaron Asher,Arthur Miller
Alfred Ligon,Alex Haley
Ted Berkman,Ronald Reagan
Arnold Scaasi,Louise Nevelson
Dorothy Collins,Elizabeth Adams
David Jones,Joan Rivers
Richard G. Kleindienst,Richard M. Nixon
Hank Snow,Tom Parker
Frank Marcus,Robert Aldrich
Joshua L. Logan,Henry Fonda
Robert E. Goldburg,Daniel Ellsberg
Doris Hart,Althea Gibson
Josette Lazar,Flora Lewis
Milton Kutsher,Alan King
Victor Samrock,Alexander H. Cohen
Jack Clifton Grigg,Hyman G. Rickover
Maurice Evans,George Bernard Shaw
Jorge Guinle,Anita Ekberg
John A. Gronouski,Joseph R. McCarthy
Sonia Orwell,Marguerite Duras
Donald Hornig,Lyndon B. Johnson
Jane Trahey,Pauline Trigere
Eliezer Zisya Portugal,Harry Bronstein
Arnost Lustig,Alexander Dubcek
Samuel Taylor,George Peppard
The Wicker Man,Diane Cilento
Betty Comden,Arthur Schwartz
Lillian Ross,Joseph Mitchell
Eric Rohmer,Alfred Hitchcock
Maurice Cranston,Margaret Thatcher
Myra Cohn Livingston,William Schuman
Gretchen Garber,Jimmy Carter
Dr. Zewail,Ahmed H. Zewail
Nani Palkhivala,Jimmy Carter
Marcus Klingberg,Shin Bet
William Dozier,Ann Rutherford
Ernst Zndel,Rudolf Vrba
Rudolf Nureyev,Aleksandr Pushkin
Samuel G. Fuqua,Ralph Edwards
Rosalyn S. Yalow,Aaron Yalow
Robert Lewis Taylor,Judith Martin
Hedley Donovan,Jimmy Carter
Yitzhak Shamir,George Bush
Frank Wess,Billy Eckstine
Joe Gibbs,Richard Johnson
Ret Turner,Ray Aghayan
Tommy Bond,Hal Roach
Lawrence Durrell,Henry Miller
Wiley A. Branton,Thurgood Marshall
Frances Yeend,George London
Joan Rivers,Helen Keller
Dean Burch,Richard M. Nixon
William A. Vacchiano,Miles Davis
Edith Ginsberg,Eugene Brooks
Charles Robert Burrows,Buenos Aires
Helen Levitt,John Szarkowski
Susan W. Shapiro,Sylvia B. Pressler
Richard Schickel,Sidney Poitier
Bill Wendell,Merv Griffin
Paul A. Freund,John F. Kennedy
Augustus Pablo,Bob Marley
Robert J. Morris,William F. Buckley Jr.
Jonathan Demme,Roger Ebert
Jawaharlal Nehru,Jacqueline Kennedy
Maurice Grosser,Virgil Thomson
Marshall I. Goldman,Vladimir V. Putin
Michael S. Harper,Gwendolyn Brooks
Addison Gayle Jr.,Richard Wright
Burton Taylor,Gerald Arpino
Ilona Copen,Igor Youskevitch
Peter Heyworth,Michael Tippett
Michael White,Kenneth Tynan
George W. S. Trow,Ismail Merchant
Edward M. Davis,William Parker
Benny Bailey,Lionel Hampton
Colin Blakely,Harold Pinter
William R. Corson,Richard M. Nixon
Pat Collins,Lloyd Bridges
Mr. Worrell,Bernie Worrell
Michael Kasdan,Richard Barr
William Wyler,Paul Kohner
Nan Kempner,Rene Magritte
Ruth Roman,Stanley Kramer
Steve Rossi,Barry Goldwater
Jean Ritchie,Pete Seeger
John Wallowitch,Martha Graham
Charles Baskerville,Charles Shipman Payson
John K. Fairbank,Edwin O. Reischauer
Victor Grinich,Julius Blank
Happy Rockefeller,Jane Wyman
Ettore Sottsass,Achille Castiglioni
Isobel Elsom Harbord,William Holden
Max Mathews,Pierre Boulez
Bert Olmstead,Jean Bliveau
Tan Zhenlin,Mao Zedong
Ruth Chinitz Uris,Harold Uris
Kenneth R. Giddens,Jimmy Carter
Frank E. Toscani,Gene Tierney
Carl Schlesinger,David Weiss
Gloria Safier,Geraldine Fitzgerald
Wesley Addy,Meryl Streep
Paul Griffin,John Denver
David Dortort,Robert Mitchum
Winston Miller,Patsy Ruth Miller
Betty Furness,Lady Bird Johnson
Jason Miller,Robert Mitchum
Richard T. Foster,John Brademas
Robert F. Ellsworth,John F. Kennedy
Kevin M. Murphy,Paul A. Samuelson
James Mark,Myron Cohen
Hugh Percival Henry Gough,George Washington
Ron Pundak,Shimon Peres
Ralph I. Straus,Bernard Straus
George W. Beiswanger,George Starbuck
John Isaacs,John Wooden
Corinne Jacker,Mel Gussow
Sanford D. Garelik,Edward I. Koch
Roger W. Heyns,Earl F. Cheit
Rod Hundley,Pete Maravich
Mary Martin,Kenneth Tynan
Hedley Donovan,Richard M. Clurman
John Johnson,Ralph Miller
Duane R. Clarridge,George Bush
The Fourposter,Lilli Palmer
Jacqueline Brookes,Edward Albee
Jeffry H. Gallet,Edward I. Koch
Harry Clay Blaney,Dorothy Tutin
Louis C. Sudler,Carlo Maria Giulini
Yao Wenyuan,Wang Hongwen
Natalie Wood,Audrey Hepburn
Sperry Andrews,John Singer Sargent
Charles S. Peckham,John V. Lindsay
Marvin Israel,Lisette Model
Dorian Leigh,Eileen Ford
Charles Fraser-Smith,James Bond
Iris Murdoch,John Bayley
Edna Flannery Kelly,Shirley Chisholm
John H. Noble,Billy Graham
David Kimche,Ronald Reagan
Charlotte Zwerin,Leonard Feather
Paul Barritt,Edward Rice
Harry Mathews's,John Ashbery
Tom Glazer,Perry Como
Christopher Gray,Michael Sterne
Misha Mengelberg,Willem Breuker
Mihajlo Mihajlov,Slobodan Milosevic
Dorothy Jeakins,Mel Ferrer
Louis Auchincloss,Jacqueline Kennedy
Luiz Bonfa,Eydie Gorme
Stefan Sharff,Robert F. Kennedy
Baylor Medical Center,Henry Fonda
William R. Sharp Jr.,Roger Sharp
L. J. Davis,Maurice Davis
Dan Haggerty,Annette Funicello
Yitzhak Shamir,Yitzhak Rabin
Louis Malle,Vincent Canby
Carlo Pietrangeli,Fabrizio Mancinelli
Boyce F. Martin Jr.,Jimmy Carter
Charles H. Percy,Ronald Reagan
Lane Kirkland,Adlai E. Stevenson
Bernard Edwards,Rod Stewart
Peter Zeisler,Jessica Tandy
Hugh Reilly,Paul Martin
Larry Butler,Harry James
Donald Swann,Al Hirschfeld
Pat Nixon,Billy Graham
Henry R. Williams,Bruce McM. Wright
Jerzy Andrzejewski,Andrzej Wajda
Edward F. Preston,Richard M. Nixon
Muriel Kallis Steinberg Newman,Robert Motherwell
Mabel Mercer,Jane White
Chris Squire,Steve Howe
Bella S. Abzug,Martin Abzug
Don Congdon,Harold Matson
Dill Jones,Oliver Jackson
Merle Kilgore,Johnny Cash
Bernard Asbell,Pete Seeger
Ed Macauley,George Mikan
Junior Wells,Johnny Copeland
Joan Sebastian,Antonio Aguilar
Joseph P. Addabbo,Edward I. Koch
David M. Raup,Stephen Jay Gould
Lionel Hampton,Dexter Gordon
Francoise Sagan,Francois Mitterrand
Merle Haggard,Liz Anderson
Henny Youngman,Jackie Gleason
Lawrence L. Klingman,Gerald Green
Edith Fellows,Jackie Cooper
Alexandre Lagoya,Joaquin Rodrigo
Joyce Wethered,Byron Nelson
Elizabeth Janeway,Eliot Janeway
Daniel J. O'Hern,Ronald Reagan
Lucille Kallen,Mel Tolkin
Shirley Rich,Off Broadway
Ben Barton,Frank Sinatra
Anse La Raye,Derek Walcott
Boris Kostelanetz,Lyndon B. Johnson
Edward G. Lansdale,Henry Cabot Lodge
Gershon Kekst,Kirk Kerkorian
Gen. James A. Van Fleet,Matthew B. Ridgway
Fred Lieb,Babe Ruth
David Newman,Peter Matthiessen
Rosalyn Tureck,Vladimir Ussachevsky
Albert I. Edelman,John J. McCloy
Thomas B. Morgan,Nelson A. Rockefeller
Tikhon Khrennikov,Edison Denisov
Emily Genauer,Pablo Picasso
Harriet M. Waddy,Oveta Culp Hobby
Robert Elkon,Patrick Caulfield
Earl King,Jimi Hendrix
Lewis Meltzer,Alan Jay Lerner
Frank Goodman,David Merrick
George M. Michaels,Nelson A. Rockefeller
Helena Kuo Kingman,Dong Kingman
Howard Nemerov,Joseph Brodsky
Tally Brown,Andy Warhol
Betty Comden,Bette Davis
Geo Voumard,Claude Nobs
Jack Mognaz,Magdalena Abakanowicz
Orson Welles,Marlene Dietrich
Herbert L. Hutner,Ronald Reagan
Harold Shapero,Richard Strauss
Lou Jacobi,William Safire
Jim Pollard,George Mikan
Anna Merz,Dian Fossey
Thomas Gilmore Pownall,Herbert G. Klein
A. Alfred Taubman,Yves Saint Laurent
Andr Courrges,Jacqueline Kennedy
Paul Gottlieb,William Morris
Carlo Azeglio Ciampi,Oscar Luigi Scalfaro
Stanley Lebowsky,Robert Lindsay
Edward C. Carfagno,Clint Eastwood
Barney Josephson,Lena Horne
Buddy Hackett,Jack Paar
Boris Aronson,Harold Clurman
Zenaida Drabkin Siskind,Abraham D. Beame
Margaret Whiting,Mary Cleere Haran
Raymond J. Smith,Saul Bellow
Michael Goldreyer,Lee Sabinson
Colin Welland,John Williams
Roy C. Bennett,Louis Armstrong
Sybil Hart Kooper,John V. Lindsay
Johnny Blanchard,Elston Howard
James Holmes,Virgil Thomson
Al Feldstein,Don Martin
Alexander McQueen,Audrey Hepburn
Lord Hailsham,Harold Macmillan
David Flusser,Adolf Eichmann
Dorothy Sands,Mae West
Buddy Elias,Otto Frank
Bill Nunn,Staten Island
Woody Stephens,Kentucky Derby
Margot Gayle,Robert F. Wagner Jr.
Mario Amaya,Max Reinhardt
Tanjore Viswanathan,Lakshmi Knight
Greville Wynne,Oleg Penkovsky
M. Dolores Denman,Hugh L. Carey
Jay Chiat,George Orwell
Marion Motley,Bill Willis
Ralph H. Baer,Harold Goldberg
Helen Lane,Juan Bosch
Lou Levy,Frank Sinatra
Maureen O'Sullivan,Vincent Canby
Gian Maria Volonte,Aldo Moro
Quentin D. Young,Michael Young
Ruth Maleczech,Anita Ekberg
Robert Saudek,Gene Kelly
Per Bak,Al Gore
Barry Bremen,Peter Graves
Gloria Safier,Arlene Francis
Natalia Clare,John Taras
Robert Noah Janeway,Eliot Janeway
Thomas F. Frist Sr,Jack C. Massey
Joe Williams,Sarah Vaughan
Robert Altman,Jimmy Dean
Jack Kramer,Lew Hoad
Paul Emile Cardinal Leger,John Paul II
Melvin Frank,Bing Crosby
Gerald W. Lynch,Robert J. Kibbee
Mike Nichols,Woody Allen
Jutta Hipp,Ed Thigpen
Roy L. M. Boe,Al Arbour
Ruth Webb,Tammy Faye Bakker
Dick Katz,Kai Winding
Edward F. Johnson,Susan Johnson
Leon Uris,Norman Mailer
Moe Foner,Ruby Dee
Jean-Paul Aron,Raymond Aron
James Oliver Brown,Louis Auchincloss
Faith McNulty,Francine Hughes
Alden S. McWilliams,John Saunders
Moises Torrijos Herrera,Omar Torrijos Herrera
Robert Giroux,William Golding
J. Edgar Hoover,Gerald R. Ford
Joe Franklin,Dustin Hoffman
William Attwood,Alfred A. Knopf
Bob St. Clair,Joe Perry
Tad Mosel,Gore Vidal
Harold Russell,Richard M. Nixon
Stan Brakhage,Robert Creeley
Dorothy McGuire,Benny Goodman
William W. Winpisinger,Herbert Hoover
Jules Blankfein,Glen Head
Ulu Grosbard,Dustin Hoffman
Marshal Royal,Eddie Heywood
F. Gilman Spencer,Mike McAlary
Midge Costanza,Bert Lance
Jerry Ragovoy,Jimi Hendrix
Nikola Kavaja,Richard M. Nixon
Victor E. Botnick,Robert F. Wagner Jr.
Maria Callas,Harold C. Schonberg
Maurice Jarre,Ray Conniff
Robert M. Takasugi,Larry Flynt
Arthur L. Liman,Nelson A. Rockefeller
Walter V. Schaefer,William J. Brennan Jr.
Joe Franklin,James Cagney
Ray Bolger,Margaret Hamilton
Sandy Dennis,Tony Awards
Anatoly F. Dobrynin,Dean Rusk
Jerry Finkelstein,Nelson A. Rockefeller
Jacqueline Kennedy,John D. Rockefeller
Gerald W. Heaney,George W. Bush
Ilhan Mimaroglu,Nesuhi Ertegun
Bayard Ewing,Woodrow Wilson
Ms. Jones,Sharon Jones
Doug Coe,Billy Graham
Donald W. Duncan,David Dellinger
Albert Collins,Jimi Hendrix
Jimmy Piersall,Billy Martin
Arnold Wesker,Kingsley Amis
Burt Shevelove,Ralph Richardson
Jerome Lindon,Jean Bruller
Leo Penn,Elia Kazan
Harold Baer,John V. Lindsay
Jane Wyatt,David Wayne
Paul Motian,Johnny Griffin
Marge Roukema,Bill Clinton
Shanley N. Egeth,John V. Lindsay
David Dortort,Alfred Kazin
Frances Dee,George Raft
Suzanne Mitchell,Tex Schramm
Mario Biaggi,Mario Merola
Jane Greer,James Cagney
Don Haskins,Bobby Joe Hill
Calvert G. DeForest,Ronald Reagan
Ingrid Sischy,Joseph Beuys
Bob Trow,Fred Rogers
Dorothy Cann Hamilton,Julia Child
Robert Wise,Jerome Robbins
Dick McGuire,Leonard Koppett
Vernal G. Cave,Thomas R. Jones
Vincent B. Copeland,Jose Ferrer
Francesco Scavullo,Horst P. Horst
Elias Newman,Chaim Gross
Julius Shulman,Ezra Stoller
Adele Mailer,Norman Mailer
Anthony Newley,John Barry
Alexander Cushing,Bing Crosby
Arnulfo Arias Madrid,Manuel Antonio Noriega
Yukio Okutsu,Bill Clinton
Jimmy C. Newman,Elvis Presley
Antonio Jose Saraiva,Antonio Salazar
John W. Lewis,George W. Bush
Cesare Siepi,Howard Taubman
Adolph Green,Fred Astaire
Sarah Vaughan,Joe Pass
George W. Mitchell,Richard M. Nixon
Fred M. Saidy,Ricardo Montalban
Bill Willis,Paul Brown
Dietrich Fischer-Dieskau,Eugen Jochum
Samuel Reshevsky,Miguel Najdorf
Joseph Blumenthal,Franklin D. Roosevelt
Ben Pimlott,Harold Wilson
Kyriacos Demetriou,Yul Brynner
Barry Morell,Rudolf Bing
Daniel Anker,George C. Wallace
George Herman,Muhammad Ali
Arthur L. Schawlow,Gordon Gould
Dean Martin,John F. Kennedy
Brett Elliot Langstaff,John Fleming
James A. Lebenthal,Bernice Kanner
The Wicker Man,Edward Woodward
James Stewart,Katharine Hepburn
Conte Candoli,Dizzy Gillespie
Snooks Eaglin,Johnny Adams
Satchel) Paige,Jackie Robinson
Nora Ephron,John F. Kennedy
William Gibson,Tony Award
Max Liebman,Danny Simon
Ted Marchibroda,Lindy Infante
Hyman Ruchlis,Maurice Sendak
Arthur Laurents,Adolph Green
Aaron Schroeder,Gene Pitney
Winston Harvey Price,Grace Hartigan
Arthur Anderson,Woody Allen
George Musso,Bronko Nagurski
Louis Loss,George Washington
Tom Aldredge,Elizabeth Taylor
Neal Colzie,Miami Dolphins
George Hamilton IV,Billy Graham
Ann Todd,Michael Redgrave
Roland Culver,John Gielgud
John C. Kingery,John King
Ruth Brown,Georgia Gibbs
Chris Chase,Gregory Peck
Ned Sherrin,David Frost
Ed Franco,Tim Cohane
Levi Jackson,Jackie Robinson
Frank Launder,Sidney Gilliat
Dirk Bogarde,David Lean
Rhoda L. Fisher,Sid Caesar
Frank Orchard,Jimmy Dorsey
Sewell Sillman,Romare Bearden
John Wain,Philip Larkin
David Maysles,Charlotte Zwerin
Henry Koster,Deanna Durbin
Michael Williams,Paul Scofield
Thomas Victor,John Cheever
David Gahr,Miles Davis
Vincent Gardenia,Michael Bennett
Eleanor Naumburg Sanger,Vladimir Horowitz
Wolfgang Vogel,Helmut Schmidt
Georges Kohler,Cesar Milstein
Dan Lacy,Lyndon B. Johnson
Heinz R. Pagels,David N. Schramm
John Berry,Joan Fontaine
Al DeRogatis,Marty Glickman
Boris A. Berezovsky,Andy Warhol
Robert Lewis Taylor,Philip Hamburger
Deborah Cavendish,Elvis Presley
Ross Tompkins,Benny Goodman
Patrick George Troughton,Gregory Peck
Betty Lee Hunt,Lena Horne
Frank Messer,Ernie Harwell
Jesse Hill Ford,Roscoe Lee Browne
Raymond P. Hickok,Phil Rizzuto
Albert Hofmann,Allen Ginsberg
Michael E. DeBakey,Ronald Reagan
Ernie Wilkins,Dizzy Gillespie
Lawrence Auchincloss,Louis Auchincloss
Malcolm Baldrige,Samuel R. Pierce Jr.
George Fenneman,Margaret Dumont
Arthur Miller,John Huston
Rick S. Piltz,George W. Bush
Katharine Strauss Mali,Henry J. Mali
Grant Sawyer,Charles H. Russell
Bob Willoughby,Blake Edwards
Beryl Reid,Edward Albee
Douglas S. Morrow,Monty Stratton
Arthur E. Smith,Paul Mellon
Larry Kelley,Clint Frank
Donald Ogden Stewart,Franklin D. Roosevelt
Earl Palmer,Frank Sinatra
George Christian,Pierre Salinger
Victor F. Weisskopf,Julian Schwinger
William Self,Larry Gelbart
Arnold Stang,Jonathan Winters
Syl Apps,Ted Kennedy
Nora Ephron,Dorothy Schiff
Billy Paul,Carmen McRae
Mary Martin,Preston Martin
Margot Tomes,Charlotte Zolotow
Ronald Reagan,Geoffrey Beene
Dana W. Atchley,Katharine Hepburn
John Cecil Holm,Shirley Booth
Eugene Kennedy,Saul Bellow
Thomas Guinzburg,Graham Greene
George Cukor,Audrey Hepburn
Dorothy Hayden Truscott,Boris Schapiro
Edward Albee,Richard Barr
Sidney Wood,Rene Lacoste
Boudleaux Bryant,Carl Smith
Moogy Klingman,Bob Dylan
Eastern Europe,Kate Smith
Soviet Jews,Moshe Decter
Benjamin C. Thompson,Philip Johnson
Andre Kertesz,Man Ray
Giuseppe Saragat,Aldo Moro
Lloyd W. McCorkle,William T. Cahill
Betty Garrett,Sydney Chaplin
Julie Wilson,Billie Holiday
Edith Green,John F. Kennedy
Peggy Lee,Lynn Fontanne
Tex BenekeTex Beneke,Gunther Schuller
Miller Barber,James Bond
Jake McNiece,Charles Bronson
Truman Capote,Stanley Kauffmann
Felix Landau,Sam Francis
Estelle Sommers,Ben Sommers
Erich Honecker,Boris N. Yeltsin
Nancy Guild,George Montgomery
Fook Mun Goon,Abraham D. Beame
David Warrilow,Ruth Maleczech
Clarence Norris,George C. Wallace
David L. Norman,Johnson Administrations
Steve Allen,Don Knotts
Betty Comden,Don Ameche
George Rose,Peter Pan
Priscilla Hiss,Alger Hiss
Glen Campbell,John Lennon
Harry Ford,Langston Hughes
Lucio Dalla,Luciano Pavarotti
George Wells,Frank Sinatra
Walter Roe Mansfield,Muhammad Ali
Bob Lemon,Andy Griffith
Sara Ehrman,Staten Island
Gale Storm,Charles Farrell
Mr. Moss,Robert Goulet
Rita Shane,Harold C. Schonberg
David Frost,Johnny Carson
Tom McDermott,Nicol Williamson
Hulan E. Jack,Jesse Gray
Malcolm Douglas-Hamilton,Natalie Wales Winslow
Hal Kanter,Dean Martin
Mabel Mercer,Fred Astaire
Mary Keefe,Billy Casper
Louise Florian,Wallace Carroll
Dorian Leigh,Diana Vreeland
Arianna Forster,Jimi Hendrix
Edward I. Koch,Abraham D. Beame
Ethel Merman,Jerome Robbins
John Paul Riddle,Howard Hughes
Herbert Barrett,William Schuman
Richard Hughes,James Bond
Dolores Fuller,Steve Reeves
Donald L. Rasmussen,Ken Hechler
John V. Lindsay,Richard M. Nixon
Emanuel B. Kaplan,Herbert Hoover
Wesley McD. Holder,Shirley Chisholm
William M. Kunstler,Stokely Carmichael
Menahem Golan,Charles Bronson
Stanley S. Scott,Kenneth Scott
Josephine D. Martin,Cedric H. Belfrage
Helene Pons,Barbara Bel Geddes
Roger L. Stevens,Adlai E. Stevenson
Thomas Hoving,Walter H. Annenberg
Charles M. Schulz,Umberto Eco
Timo Sarpaneva,Tapio Wirkkala
David Rayfiel,Ingmar Bergman
William J. Tuttle,Gene Kelly
William D. Hathaway,Gerald R. Ford
Anthony DeVincenzo,Sam Spiegel
John J. McCloy,Franklin D. Roosevelt
Millie Helper,Jerry Paris
Tilford E. Dudley,Lyndon B. Johnson
Paul Flato,Gloria Vanderbilt
Alan J. Dixon,Joseph R. McCarthy
Rosalie Allen,Minnie Pearl
Alan Bates,Laurence Olivier
Richard Joseph Hughes,William T. Cahill
Brian Friel,Meryl Streep
Brooks Smith,Zara Nelsova
David Storey,Lindsay Anderson
Carlos Fuentes,Gregory Peck
Desmond Connell,John Paul
Edna C. Rockstroh,John Steinbeck
David Berry,Michael Jeter
Clarence Francis,Franklin D. Roosevelt
Mickey Owen,Bill Dickey
Dave Dudley,Jimmy C. Newman
Stanley J. Seeger,Ben Nicholson
Jean Kerr,Howard Taubman
Jack M. Warner,Richard Todd
Bruno Bartoletti,Renata Tebaldi
Jan Kott,Harold Clurman
Herbert Katzman,Terry Dintenfass
Alice Reinheart,Get Smart
Art D'Lugoff,Pete Seeger
Sidney Tillim,Clement Greenberg
Charles Gatewood,Bob Dylan
Raghubir Singh,Satyajit Ray
Henry J. Rosner,Ruth Gruber
Grant F. Daniels,Nelson A. Rockefeller
Mr. Leisenring,Jimmy Carter
George E. Cleary,George W. Ball
James William Kennedy,James Kennedy
Viktor G. Afanasyev,Mikhail S. Gorbachev
John Henry Faulk,Hee Haw
David King,Mikhail S. Gorbachev
Walter Florell,Greta Garbo
Anita Colby,Palen Flagler
Robert R. Bowie,Lyndon B. Johnson
Raymond Aron,Jack Lang
William J. Levitt,Alfred Levitt
Mira Rostova,Kevin McCarthy
Charles Bierer Wrightsman,Peter Paul Rubens
Steve Berrios,Grover Washington Jr.
Pierre Clostermann,Orville Prescott
Leon Eisenberg,Leo Kanner
Dorothy Walker Bush,George Bush
Herb Sargent,Earl Wilson
Doris Dowling,Ray Milland
John M. Blum,Arthur M. Schlesinger Jr.
Joseph E. Persico,Gerald R. Ford
Jill Haworth,Bob Fosse
Dick Gregory,Bill Cosby
George McGovern,Thomas F. Eagleton
Andy Uram,Bud Wilkinson
Margaret Campbell,Alexander Schneider
Rosalie Gwathmey,Robert Gwathmey
James Mason,Margaret Lockwood
Ichiro Nakagawa,Zenko Suzuki
Hugh Sylvan Stix,Louise Nevelson
Collie J. Nicholson,Willie Davis
Diane Wolkstein,Samuel Noah Kramer
Edith Anderson,Helen Yglesias
WOLFGANG SAXON Masayoshi Ohira,Takeo Miki
Franco Modigliani,John Kenneth Galbraith
Mitchell Stern,Dorothy DeLay
Abner J. Greshler,Dean Martin
The New York Times,Mike Wallace
Gualtiero Jacopetti,John Waters
Robert Heinecken,Ronald Reagan
Digby Diehl,Henry Miller
Michel Foucault,Pierre Mauroy
Oren Lee Staley,Ezra Taft Benson
Mary Perot Nichols,Jerry Tallmer
Nursing Home,Jimmy McPartland
Carl A. Vergari,Jean S. Harris
Milton A. Rudin,Lee Solters
Jacob Kainen,Alice Neel
Robert M. Ganger,Fred Waring
Rene Thom,Fields Medal
Pepper LaBeija,Dorian Corey
Leon Uris,John Sturges
Morton Da Costa,Brian Aherne
Cecil Stoughton,Robert F. Kennedy
Harold M. Agnew,Ronald Reagan
Albert A. Marks Jr.,Marilyn Monroe
Dwight Macdonald,Dorothy Day
Gato Barbieri,Maria Schneider
Norma Zimmer,Dean Martin
Louis Loss,Antonin Scalia
Edie Adams,Leonard Bernstein
Richard Joseph Hughes,Timothy J. Murphy
Phil Stern,Billie Holiday
Jimmy Ruffin,David Ruffin
Claude Marks,John Gielgud
Pablo Picasso,Alfred Hitchcock
Budd Johnson,Benny Goodman
Nan Kempner,William F. Buckley Jr.
James G. Wallach,Ira Wallach
B. FLINT,William Faulkner
Valley Presbyterian Hospital,Marlon Brando
Christopher Palmer,Miklos Rozsa
Shannon Bolin,Franklin D. Roosevelt
Richard Haynes,Gary Cartwright
Jeffrey Tate,David Blum
James A. FitzPatrick,Thomas E. Dewey
Vic Power,Elston Howard
Herbert Brownell Jr.,John V. Lindsay
M. Scott Carpenter,John F. Kennedy
John Kenley,Michael Bennett
William L. Kraushaar,Hermann Bondi
Rudolf Serkin,Seymour Lipkin
Norman G. Dyhrenfurth,Barry C. Bishop
Zvi Zeitlin,Lorin Maazel
Ali Akbar Khan,Ravi Shankar
Elisa Bialk Krautter,Joan Caulfield
Jay Landesman,Chandler Brossard
Enrico Caruso,Phyllis Curtin
George E. Reedy,Lyndon B. Johnson
Michel Debre,Francois Mitterrand
Charles Napier,Dennis Hopper
Joseph Smith,Franklin D. Roosevelt
Jean Ritchie,Maurice Sendak
Richard Nelson,Paul Taylor
Alfred Bradley Fitt,Lyndon B. Johnson
Sol LeWitt,Dan Flavin
Bill Rice,Jim Neu
Louise Reiss,John F. Kennedy
Arthur Laurents,Tony Award
John Maxtone-Graham,Helen Hayes
Edit DeAk,Sol LeWitt
Walter E. Rogers,John F. Kennedy
Raphael B. Malsin,Arthur Malsin
James Costigan,Joseph P. Lash
Sol Greitzer,Rafael Kubelik
Horton Foote,Lucy Kroll
Larry Gelbart,Danny Thomas
Teddy Wilson,Mildred Bailey
Bernard Fox,Dick York
Virginia Grey,Gloria Swanson
Arnold Arnstein,Gian Carlo Menotti
Ann Sneed,Billy Taylor
Elliot Welles,Josef Schwammberger
Teresa Sterne,Elliott Carter
Bruce Langhorne,Bob Dylan
Albert Shanker,Sandra Feldman
Randolph Carter,Tallulah Bankhead
Elvis Presley's,Abraham Lincoln
Lefty Gomez,Babe Ruth
Hans-Dietrich Genscher,Mikhail S. Gorbachev
Svetozar Gligoric,Vasily Smyslov
William Craig,Gerry Fitt
Central Park,Jonas Salk
Antony Jay,Paul Eddington
Stanley J. Seeger,Howard Hodgkin
Alger Hiss,Richard M. Nixon
Gyula Horn,Alois Mock
Carmine Infantino,Jack Kirby
Joseph M. Fox,Peter Matthiessen
