Source,Target,weight
Eddie Barclay,Charles Aznavour,2
Pauline Kael,Agnes Moorehead,4
Simon Bucharoff,Ira Gershwin,2
You When You Know I,Jack Nicholson,48
Francis Kenneth Lloyd,Ad Reinhardt,2
My Three Sons,Joseph Mantel,2
Warren Beatty,Harold Clurman,4
Virginia Nicholson,Joseph Cotten,2
Julian Schnabel,Elizabeth Taylor,3
Henry Moore,Ben Nicholson,2
You Can See Forever,Len Cariou,2
Tony Bennett,Judy Garland,3
Robert Gottlieb,Nora Ephron,2
Susie Landau Finch,Johnny Depp,3
Peter Fonda,Francis Ford Coppola,26
Karen Silkwood,Gloria Steinem,2
William Tepper,Bruce Dern,2
Judy Garland,Fred Feldman,3
Harvey Weinstein,Charles Mingus,2
You Know I,Mindin ' My Business,2
Leland Hayward,David Lynch,3
Pauline Kael,Harold Clurman,4
Ralph Freed,Me When I Said I Love You When You Know I,2
Martha Raye,James Barton,2
Julie Christie,Brian De Palma,3
Tony Bennett,""" Royal Wedding",2
Warren Beatty,Meryl Streep,6
Freddie Fields,David Begelman,2
Peter Fonda,Bel Air,9
Jessica Tandy,Elaine Stritch,3
John Huston,De Witt Clinton High School,3
Diana Epstein,Beth Israel Hospital North,2
Vilmos Zsigmond,James Caan,2
Humphrey Bogart,Arthur Penn,3
Oskar Kokoschka,Fisher Fine Arts,2
Henry Fonda,Gary Sinise,3
Laura Ziskin,Julia Roberts,2
Leland College,Ernie Ladd,2
Julie Christie,Joan Bennett,3
Marc Blitzstein,Boycotted New York Stage He,2
Katie Elder,Brooke Hayward,2
Tom Buchanan,Myrtle Wilson,2
Myrtle Wilson,Hunter Carson,2
Marlon Sr,Marlon Brando,9
My Neck,Meg Wolitzer,2
Pearl Harbor,Nick Nolte,2
Micky Brown,Beverly Hills,7
Yves Montand,Peggy Kaye,2
Ron Howard,Kit Golden,3
Marc Blitzstein,His Mercury Theater,2
Edward G. Robinson,Andrei Vishinsky,4
Janet Maslin,' ' Free Money,3
Jeffrey Schneider,Dennis Hopper,9
Paul Newman,Burt Lancaster,9
Tom Petty,Bob Dylan,2
Blossom Dearie,Barclay Records,2
Lady Be Good,Frances Fink Levy,2
Lucinda Ballard,Cheyenne Brando,2
Edward Norton,Don Corleone,2
Stella Adler,Ann Douglas,3
Richard Rodgers,Hillary Kaye,2
Steven Spielberg,Al Jolson,4
Jack Kerouac,Dale Wasserman,2
Yves Montand,Sheldon Harnick,2
Rachel Fershleiser,Dan Greenburg,2
Susan Sarandon,Diana Epstein,2
Paul Newman,My Lovely,8
Dick Wolf,Anthony Colon,2
Micky Brown,Jack Kent Cooke,2
Truman Capote,Ben Hecht,4
Walter Kerr,Gus Levy,3
William Tepper,Nathanael West,2
San Diego,Alan Menken,3
Michael Douglas,Kirk Douglas,7
Mr. De Niro,Eva Marie,2
Oskar Kokoschka,Barbara Hepworth,2
Lon Chaney,Efrem Zimbalist Jr.,2
Jerry West,Gerald Hatten Buss,2
Marlon Sr,Bob Hope,5
Jack Lemmon,' My Fair Lady,2
Richard Thomas,Paul Newman,8
Peter William Fields,Dustin Hoffman,3
Nathanael West,Bruce Dern,2
Roosevelt Taylor,Eddie Robinson,3
Roger Hill,Gregg Toland,2
Robert Morse,Howard Keel,3
San Francisco,A Dime Western,4
Maynard G. Krebs,Marlon Brando,9
Peter Lorre,Joe Roth,2
Jack Nicholson,George Bernard Shaw,48
Henry Fonda,Al Jolson,4
Yves Montand,Libby Holman,2
Meryl Streep,Al Pacino,5
Twyla Tharp,Robert Plavik,2
Michelle Phillips,Jane Fonda,2
Larry Smith,Beverly Hills,7
Scott Rudin,My Life,2
Woody Allen,Edgar Allan Poe,4
Tracey Smith,Edd Byrnes,2
Hunter Carson,Connie White,2
Joanne Woodward,Elizabeth Taylor,4
Sky Masterson,Joey Gallo,2
Richard Burton,George C. Scott,6
Willie Williams,James Harris,2
Mr. De Niro,Konstantin Stanislavski,2
Lucinda Ballard,James Dean,5
Steve Franken,Dwayne Hickman,2
Janet Roach,An Infinity,2
William Zsigmond,Meryl Streep,4
John F. Kennedy,Janet Roach,4
Marilyn Monroe,Billy Rose,3
Leonard Bernstein,Angela Lansbury,2
James Barton,Jack Nicholson,48
Paul Zaentz,Michael Douglas,4
Keith Haring,Anthony Quinn,3
Eddie Gay Robinson,Buck Buchanan,2
Yves Montand,Rose Gershwin,2
William Zsigmond,Cliff Robertson,2
Woody Allen,Gene Hackman,4
Julie Christie,Beth Israel Hospital North,3
John Lennon,David Byrne,2
Richard Condon,John Frankenheimer,4
Lee Strasberg,Jerry Orbach,5
Sidney Poitier,Freddie Fields,4
My Heart,Fred Astaire,3
Dorothy Pennebaker Brando,Billy Wilder,2
Karen Blanche Ziegler,Connie White,2
Paul Simon,James Taylor,2
Richard Avedon,Bessie Smith,2
Orson Welles,' ' Orson Welles,5
Ralph Freed,Diana Lane,2
Tommy Lee Jones,Nina Ziskin,2
Jimmy Dean,Jack Nicholson,48
Ned Beatty,Dennis Hopper,9
Ron Fellows,Jessica Heeps,2
My Pants,Louis Arkoff,2
Frank Loesser,Dorothy Fields,2
Lee Strasberg,Don Corleone,5
Paul Zaentz,Dave Brubeck,2
William Baziotes,Judge Millard L. Midonick,2
Delia Ephron,Ayn Rand,2
Bob Woodward,Betty Friedan,2
Leon Orbach,Lee Strasberg,5
Fisher Fine Arts,Ad Reinhardt,2
Linda East,' ' Five Easy Pieces,3
Will Greer,' ' A Price Above Rubies,2
Tin Pan Alley,Sheldon Harnick,2
Judith Jones,Bessie Smith,2
Dennis Hopper,Christopher Walken,9
Tessa Kennedy,"' ' Harper,''''Where Eagles Dare,''''The Long Goodbye,''''The Missouri Breaks",2
Susannah York,Elliott Gould,3
Sissy Spacek,Cliff Robertson,2
David Byrne,Craig Highberger,2
Scott Rudin,Beverly Hills,7
Willy Loman,Clive Barnes,2
Willy Loman,Ralph Waite,2
Truman Capote,Ninna Gradually,4
Robert Sklar,Red - Dirt Marijuana,2
Rose Tiplitz,Howard Deutsch,2
Ringo Starr,Charles Aznavour,3
Bernard J. Reis,Ad Reinhardt,2
Mr. Abdul - Jabbar,Micky Brown,2
Larry Smith,Billy Crystal,2
Samuel Zachary Arkoff,Peter Fonda,9
Rod Steiger,Jack Nicholson,98
Pierre Levai,Eduardo Paolozzi,2
Wim Wenders,Sheridan Stanton,2
Vladimir Nabokov,"Long Goodbye,''''The Missouri Breaks",2
Truman Capote,Charlie Sheen,5
You When You Know I,Fred Astaire,3
Peter Sellers,Hal B. Wallis,4
Pauline Kael,Katharine Cornell Through Thornton Wilder,4
Elton John,Barbra Streisand,5
Hallie Ephron,Dorothy Schiff,2
Jack Nicholson,Irving Berlin,48
Herta Menzel,Frank Lloyd,2
William Inge,Peter Shaffer,3
Lee Strasberg,Bob Hope,8
Jake Gittes,Andy Griffith,2
Lee Strasberg,Katie Elder,5
Walter Slurrie,John Frankenheimer,4
Tom Hulce,Tom Cruise,4
Ruth Sobtka,Lolita ( Sue Lyon,2
John Frankenheimer,Jeff Corey,5
Sabrina Calley,David Zinnemann,2
Don Johnson,Annette Funicello,2
Lucinda Ballard,Anna Kashfi,2
Marin Hopper,Bel Air,2
Leonard Bernstein,Jack Mitchell Photographs,2
Julie Christie,Burt Reynolds,3
Natalie Wood,Lee Strasberg,7
Roman Polanski,Mr. De Palma,2
Marion Cunningham,Marilyn Monroe,3
Jack Nicholson,Carol Kauffman,48
You When You Know I,Walter Damrosch,2
You Know I,Ralph Freed,2
Maynard G. Krebs,Jerry Lewis,5
Nathanael West,Dennis Hopper,9
San Francisco,Norma Faye Haxby,4
Dorothy Gale,Cary Grant,2
Rod Steiger,Claire Bloom,3
Viva Zapata,Hong Kong,3
Robin Williams,Anthony Perkins,2
Otto Petersen,Bob Hope,5
Ruth Lewis Smith,Jack Daniel,2
Oona O'Neill Chaplin,Charlie Chaplin,2
Fred Astaire,Billy Eckstein,3
Lady Be Good,Clifton Webb,2
Cheyenne Brando,Anthony Quinn,3
Peter Ziegler,Nathanael West,2
Ralph Freed,A Young Gershwin As Role Model During,2
Jack Nicholson,Eddie Cantor,48
Walter Damrosch,A Young Gershwin As Role Model During,2
Me When I Said I Love You When You Know I,Clark Gable,2
John Milius,Christopher Jones,2
Jack Nicholson,David Wayne,48
Fred Astaire,Diana Lane,3
Peter Fonda,Marsha Mason,9
Rudolf Hess,Norman Jewison,2
William Styron,Olympia Press,3
