actual_OCC,coded_OCC,count
ARTIST,ACTOR,1
SCIENTIST,DIRECTOR,1
BIZOP,CLERGY,1
MILITARY,LAWYER,1
JUDGE,CEO,1
AUTHOR,DIPLOMAT,3
EDUC OTHER,LAWYER,1
SCIENTIST,DIPLOMAT,3
PROF,NEWS,1
DIRECTOR,MUSICIAN,1
MILITARY,AUTHOR,1
CEO,ADMIN,9
LAWYER,DIPLOMAT,5
PROF,ADMIN,4
AUTHOR,TEACHER,1
MILITARY,ARCHITECT,1
ARTIST,PROF,3
CLERGY,ARTS OTHER,1
MILITARY,JUDGE,1
DOCTOR,CEO,2
DANCER,ACTOR,1
DIRECTOR,ACTOR,2
DIRECTOR,DIPLOMAT,3
TEACHER,TEACHER,1
ACTOR,MUSICIAN,6
ATHLETE,ARCHITECT,1
DIPLOMAT,PROF,4
MILITARY,MUSICIAN,1
DOCTOR,ADMIN,1
ARTIST,MUSICIAN,1
DIPLOMAT,ARTIST,1
CEO,DIPLOMAT,32
ADMIN,MUSICIAN,1
PROF,CLERGY,2
MUSICIAN,ANNOUNCER,1
TEACHER,AUTHOR,1
ARTS OTHER,ARTS OTHER,13
PROF,DIPLOMAT,7
ANNOUNCER,ATHLETE,1
DOCTOR,PROF,1
CEO,PROF,1
ACTOR,DANCER,1
