actual_OCC,coded_OCC,count
CLOWN,ARCHITECT,1
TEACHER,SALES,2
BIZOP,BLUE COLLAR,1
SALES,MUSICIAN,1
SCIENTIST,BIZOP,2
AUTHOR,ACTOR,13
PROF,ANNOUNCER,2
ACTOR,BIZOP,4
ACTOR,NURSE,1
ARTS OTHER,DIRECTOR,1
LEGISLATOR,MUSICIAN,1
ATHLETE,ATHLETE,42
COP,ARTS OTHER,1
ADMIN,FINANCE,3
COUNSELOR,COP,1
ADMIN,LAWYER,4
ADMIN,NURSE,1
MATH,CEO,4
ACTOR,NEWS,7
PROF,DOCTOR,18
CEO,FARM,6
ANNOUNCER,MUSICIAN,5
PROF,ARCHITECT,4
DIRECTOR,MUSICIAN,7
NEWS,CLOWN,1
ARTIST,ENGINEER,2
COUNSELOR,PERSONAL,1
ARTS OTHER,JUDGE,1
DANCER,MILITARY,1
AUTHOR,SALES,3
MATH,PROF,5
DIPLOMAT,AUTHOR,15
MUSICIAN,ARTIST,15
PROF,CLOWN,4
NEWS,CEO,24
AUTHOR,MUSICIAN,12
BIZOP,DIPLOMAT,5
EDUC OTHER,ADMIN,2
PROF,ARTIST,8
SCIENTIST,AUTHOR,26
ARTS OTHER,ARTIST,9
DIPLOMAT,CLERGY,8
DIPLOMAT,FINANCE,4
COP,NEWS,1
PROF,NURSE,3
CLERGY,MILITARY,3
SCIENTIST,COUNSELOR,1
LAWYER,ATHLETE,1
ANNOUNCER,ARCHITECT,2
LEGISLATOR,LEGISLATOR,20
ADMIN,PERSONAL,7
JUDGE,SCIENTIST,1
ANNOUNCER,PERSONAL,5
JUDGE,MILITARY,2
ANNOUNCER,LEGISLATOR,1
ACTOR,ARTS OTHER,1
AUTHOR,FINANCE,2
BLUE COLLAR,COP,2
CLERGY,SCIENTIST,3
CEO,AUTHOR,16
MILITARY,LEGISLATOR,3
LAWYER,FARM,1
LEGISLATOR,ARCHITECT,1
DOCTOR,NURSE,3
DIPLOMAT,SECRETARY,5
LAWYER,ADMIN,7
ARTS OTHER,SCIENTIST,1
PROF,BLUE COLLAR,5
MATH,BIZOP,1
ADMIN,CLOWN,1
SCIENTIST,MATH,2
CLERGY,ADMIN,6
CLERGY,ARTIST,1
ATHLETE,PERSONAL,7
AUTHOR,SECRETARY,6
ACTOR,MILITARY,1
ADMIN,ARTIST,6
ARTIST,SALES,3
MILITARY,NURSE,1
DANCER,SCIENTIST,4
DIRECTOR,NEWS,6
SCIENTIST,SECRETARY,2
LAWYER,ARTIST,3
SCIENTIST,EDUC OTHER,2
ENGINEER,MUSICIAN,1
ANNOUNCER,CEO,11
SCIENTIST,DOCTOR,18
NEWS,JUDGE,3
CLERGY,ARCHITECT,1
ADMIN,COP,4
LEGISLATOR,CLERGY,2
DIPLOMAT,ARCHITECT,4
CLERGY,SECRETARY,1
CLERGY,PERSONAL,2
PROF,LEGISLATOR,5
EDUC OTHER,CEO,7
ANNOUNCER,DIRECTOR,1
CLERGY,DIPLOMAT,12
ACTOR,ADMIN,5
AUTHOR,ARCHITECT,8
MILITARY,CLERGY,5
FINANCE,ARTS OTHER,1
DIRECTOR,DANCER,1
DANCER,ARTS OTHER,2
DIRECTOR,PROF,2
DANCER,PROF,6
MILITARY,MILITARY,7
DOCTOR,SCIENTIST,8
ANNOUNCER,SALES,3
NURSE,NURSE,1
EDUC OTHER,FINANCE,1
NEWS,PROF,8
MUSICIAN,SALES,3
AUTHOR,CLOWN,2
AUTHOR,DANCER,3
ANNOUNCER,ATHLETE,4
TEACHER,ANNOUNCER,1
ATHLETE,SECRETARY,3
NEWS,ARTIST,3
MUSICIAN,ATHLETE,3
COP,MUSICIAN,1
BLUE COLLAR,CEO,1
LAWYER,BIZOP,3
ARTIST,NEWS,6
ATHLETE,DOCTOR,5
PERSONAL,ACTOR,1
LEGISLATOR,ACTOR,1
AUTHOR,CLERGY,13
SCIENTIST,COP,5
DOCTOR,LEGISLATOR,1
LAWYER,NEWS,5
COP,PROF,3
CLOWN,ADMIN,2
