actual_OCC,coded_OCC,count
DIRECTOR,DIRECTOR,1
CLOWN,ATHLETE,1
DOCTOR,DIPLOMAT,2
EDUC OTHER,SCIENTIST,1
CEO,ARTS OTHER,1
MILITARY,ARTIST,1
MUSICIAN,ARTS OTHER,2
CLOWN,NEWS,3
MATH,MATH,4
ARTIST,ARTS OTHER,5
ADMIN,AUTHOR,4
LEGISLATOR,AUTHOR,1
COP,ARTIST,1
ADMIN,ARTS OTHER,1
PROF,ENGINEER,1
CLOWN,ENGINEER,1
ANNOUNCER,MUSICIAN,3
ACTOR,ATHLETE,3
SALES,PROF,1
ATHLETE,COP,1
CEO,PERSONAL,7
CEO,ENGINEER,3
CEO,EDUC OTHER,1
MILITARY,PERSONAL,2
TEACHER,NEWS,1
SCIENTIST,NEWS,2
PROF,AUTHOR,11
CLOWN,ACTOR,5
MATH,SCIENTIST,4
DOCTOR,ARTS OTHER,1
DIRECTOR,ARCHITECT,2
ATHLETE,AUTHOR,3
CEO,SCIENTIST,6
ACTOR,ANNOUNCER,2
DANCER,AUTHOR,2
AUTHOR,DIPLOMAT,7
CEO,ACTOR,1
SCIENTIST,DIPLOMAT,2
PROF,NEWS,4
MILITARY,AUTHOR,2
CEO,ADMIN,1
LEGISLATOR,DIPLOMAT,3
NEWS,ACTOR,2
MILITARY,ARCHITECT,1
ARTIST,PROF,2
DOCTOR,AUTHOR,2
CEO,NEWS,1
DOCTOR,MATH,1
DANCER,ACTOR,3
DIPLOMAT,ARTS OTHER,1
DIRECTOR,ACTOR,5
DIRECTOR,DIPLOMAT,16
CEO,MATH,1
CLERGY,AUTHOR,2
ACTOR,MUSICIAN,9
ATHLETE,ARCHITECT,1
DIPLOMAT,PROF,3
ARTIST,MUSICIAN,2
ATHLETE,PROF,1
CLOWN,DIPLOMAT,1
AUTHOR,BLUE COLLAR,2
CEO,DIPLOMAT,20
ADMIN,MUSICIAN,1
COP,ARCHITECT,1
ENGINEER,BIZOP,1
MUSICIAN,ANNOUNCER,2
TEACHER,AUTHOR,1
SALES,SCIENTIST,1
PROF,DIPLOMAT,2
LEGISLATOR,PROF,1
AUTHOR,ENGINEER,2
ANNOUNCER,ARTIST,5
ACTOR,DANCER,1
