actual_OCC,coded_OCC,count
JUDGE,JUDGE,13
MUSICIAN,PROF,6
PROF,MATH,2
NEWS,NEWS,45
DIRECTOR,SCIENTIST,1
ATHLETE,ANNOUNCER,2
PROF,CEO,10
AUTHOR,ADMIN,2
ANNOUNCER,PERSONAL,1
CEO,CLERGY,1
ARTIST,ARTIST,26
BIZOP,PROF,1
ADMIN,PROF,10
MUSICIAN,FARM,2
AUTHOR,JUDGE,1
CEO,CEO,111
PROF,PERSONAL,1
DIRECTOR,ADMIN,1
BLUE COLLAR,SALES,1
MILITARY,ATHLETE,1
CEO,DOCTOR,1
DIPLOMAT,LAWYER,3
SALES,BIZOP,4
COP,BLUE COLLAR,1
ADMIN,CEO,16
CLOWN,SALES,1
SALES,SALES,7
ENGINEER,ADMIN,1
ACTOR,ACTOR,43
NEWS,ARTIST,1
DOCTOR,PROF,2
AUTHOR,LAWYER,2
MUSICIAN,MUSICIAN,66
AUTHOR,DOCTOR,1
ADMIN,ADMIN,46
MILITARY,ADMIN,2
COUNSELOR,CEO,1
COP,COP,7
CLOWN,ATHLETE,1
DOCTOR,DIPLOMAT,2
CEO,ARTS OTHER,1
ADMIN,ACTOR,1
CEO,JUDGE,2
SCIENTIST,CLOWN,1
DIPLOMAT,DOCTOR,1
DIPLOMAT,PROF,4
AUTHOR,DIRECTOR,1
MILITARY,CEO,4
MATH,MATH,3
ADMIN,AUTHOR,1
JUDGE,LAWYER,2
ARCHITECT,ARCHITECT,6
ADMIN,ARTS OTHER,1
PROF,ENGINEER,1
ADMIN,FARM,1
SALES,CEO,4
ANNOUNCER,MUSICIAN,1
SALES,PROF,1
DIPLOMAT,ANNOUNCER,1
CEO,BLUE COLLAR,1
ATHLETE,ADMIN,2
SCIENTIST,ADMIN,3
FINANCE,TEACHER,1
DIPLOMAT,COP,1
MILITARY,PERSONAL,1
SALES,ADMIN,4
SCIENTIST,NEWS,1
PROF,AUTHOR,11
BIZOP,CLERGY,1
ATHLETE,CEO,2
LAWYER,AUTHOR,1
CLERGY,COUNSELOR,1
DIPLOMAT,NEWS,5
ARTS OTHER,NURSE,1
LAWYER,LAWYER,31
ARTIST,ACTOR,1
SCIENTIST,DIRECTOR,1
PROF,ADMIN,5
MILITARY,LAWYER,2
JUDGE,CEO,2
