code,notSure,officialTitle
353,353,Miscellaneous Health Technologists and Technicians
354,354,Other Healthcare Practitioners and Technical Occupations
Service Occupations,,
Healthcare Support Occupations,,
360,360,"Nursing, Psychiatric, and Home Health Aides"
361,361,Occupational Therapist Assistants and Aides
362,362,Physical Therapist Assistants and Aides
363,363,Massage Therapists
364,364,Dental Assistants
365,365,Medical Assistants and Other Healthcare Support Occupations
Protective Service Occupations,,
370,370,First-Line Supervisors/Managers of Correctional Officers
371,371,First-Line Supervisors/Managers of Police and Detectives
372,372,First-Line Supervisors/Managers of Fire Fighting and Preventions Workers
373,373,"Supervisors, Protective Service Workers, All Other"
374,374,Fire Fighters
375,375,Fire Inspectors
380,380,"Bailiffs, Correctional Officers, and Jailers"
382,382,Detectives and Criminal Investigators
383,(See code 384),Fish and Game Wardens
384,384 (Inc. 383),Miscellaneous Law Enforcement Workers
385,385 (Inc. 386),Police Officers
386,(See code 385),Transit and Railroad Police
390,390,Animal Control Workers
391,391,Private Detectives and Investigators
392,392,Security Guards and Gaming Surveillance Officers
394,394,Crossing Guards
395,395,Lifeguards and Other Protective Service Workers
Food Preparation and Serving Occupations,,
400,400,Chefs and Head Cooks
401,401,First-Line Supervisors/Managers of Food Preparation and Serving Workers
402,402,Cooks
403,403,Food Preparation Workers
404,404,Bartenders
405,405,"Combined Food Preparation and Serving Workers, Including Fast Food"
406,406,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
411,411,Waiters and Waitresses
412,412,"Food Servers, Nonrestaurant"
413,413 (Inc. 416),"Dining Room and Cafeteria Attendants, Bartender Helpers, and Miscellaneous Food Preparation and Serving Related Workers"
414,414,Dishwashers
415,415,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
416,(See code 413),"Food Preparation and Serving Related Workers, All Other"
Building and Grounds Cleaning and Maintenance Occupations,,
420,420,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers
421,421,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers"
422,422,Janitors and Building Cleaners
423,423,Maids and Housekeeping Cleaners
424,424,Pest Control Workers
425,425,Grounds Maintenance Workers
Personal Care and Service Occupations,,
430,430,First-Line Supervisors/Managers of Gaming Workers
432,432,First-Line Supervisors/Managers of Personal Service Workers
434,434,Animal Trainers
435,435,Nonfarm Animal Caretakers
440,440,Gaming Services Workers
441,441,Motion Picture Projectionists
442,442,"Ushers, Lobby Attendants, and Ticket Takers"
443,443,Miscellaneous Entertainment Attendants and Related Workers
446,446,Funeral Service Workers
450,450,Barbers
451,451,"Hairdressers, Hairstylists, and Cosmetologists"
452,452,Miscellaneous Personal Appearance Workers
453,453,"Baggage Porters, Bellhops, and Concierges"
454,454,Tour and Travel Guides
455,455,Transportation Attendants
460,460,Child Care Workers
461,461,Personal and Home Care Aides
462,462,Recreation and Fitness Workers
464,464,Residential Advisors
465,465,"Personal Care and Service Workers, All Other"
Sales and Office Occupations,,
Sales Occupations,,
470,470,First-Line Supervisors/Managers of Retail Sales Workers
471,471,First-Line Supervisors/Managers of Non-Retail Sales Workers
472,472,Cashiers
474,474,Counter and Rental Clerks
475,475,Parts Salespersons
476,476,Retail Salespersons
480,480,Advertising Sales Agents
481,481,Insurance Sales Agents
482,482,"Securities, Commodities, and Financial Services Sales Agents"
483,483,Travel Agents
484,484,"Sales Representatives, Services, All Other"
485,485,"Sales Representatives, Wholesale and Manufacturing"
490,490,"Models, Demonstrators, and Product Promoters"
492,492,Real Estate Brokers and Sales Agents
493,493,Sales Engineers
494,494,Telemarketers
495,495,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
496,496,"Sales and Related Workers, All Other"
Office and Administrative Support Occupations,,
500,500,First-Line Supervisors/Managers of Office and Administrative Support Workers
501,501,"Switchboard Operators, Including Answering Service"
502,502,Telephone Operators
503,503,"Communications Equipment Operators, All Other"
510,510,Bill and Account Collectors
