id,title,firstSentence
35806,"GEORGE MATHEWS, 73, ACTOR ON BROADWAY AND IN MOVIES","George Mathews, an actor who had a long career that took him from the classics to gangster roles, died of heart disease Wednesday."
20473,"Janet Steiger, 64, Panel Chief","Janet Steiger, a congressman's widow appointed by presidents to several posts, including that of head of the Federal Trade Commission, died Saturday while visiting her sister in Fort Myers, Fla. She was 64."
25780,"Don Alias, 66, Percussionist And Sideman","Don Alias, a percussionist who had a long career as a sought-after sideman, working with an illustrious array of artists in jazz and pop including Nina Simone, Miles Davis and Joni Mitchell, died on March 28 at his home in Manhattan."
50614,"James Fuld, 91, Dies; Collected Sheet Music","James J. Fuld, a New York lawyer whose love of music inspired him to assemble one of the world's finest collections of first-edition musical scores, died at his home in Manhattan on Jan. 29."
31473,"Conrad Duberstein, 90, Bankruptcy Judge","Conrad B. Duberstein, the chief judge of the United States Bankruptcy Court in Brooklyn since 1984, died on Friday at his home in Brooklyn."
5211,"William Krisel, 92, Modernist Architect With a Niche, Dies","William Krisel, who designed captivating but economical tract housing that enabled real estate developers in the Sun Belt to market modern architecture to the masses in the 1950s and '60s, died on Monday in Beverly Hills, Calif."
25256,DREW (BUNDINI) BROWN,"Drew (Bundini) Brown, who worked as a cornerman and assistant trainer for Muhammad Ali throughout the former heavyweight champion's career, died Thursday at Good Samaritan Hospital in Los Angeles."
13044,"Paul Vance, 68, 'Itsy Bitsy' Bikini Songwriter","Paul Vance, co-writer of ''Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,'' the 1960 hit song about a bashful bather, died on Sept. 6 at his home in Ormond Beach, Fla."
15651,"Ronald Takaki, 70, a Scholar on Ethnicity","Ronald Takaki, who made it his life's work to rewrite American history to include Asian-Americans and other ethnic groups excluded from traditional accounts and who helped start the first doctoral program in ethnic studies in the United States, died Tuesday in his home in Berkeley, Calif."
24496,"Ralph J. Lomma, 87; Helped Modernize Miniature Golf","Ralph J. Lomma, who at midcentury helped set the static pastime of miniature golf in motion, letting players tilt at windmills, shoot across rising drawbridges and, at game's end, watch the ball vanish forever into the maw of a voracious clown, died on Sept. 12 in Scranton, Pa."
3792,"Robert Shope, 74, Virus Expert Who Warned of Epidemics","Dr. Robert E. Shope, an expert on viruses who was the principal author of a highly publicized 1992 report by the National Academy of Sciences warning of the possible emergence of new and unsettling infectious illnesses, died on Monday in Galveston, Tex."
54814,"William Halford Selby, British Admiral, 92","Rear Adm. William Halford Selby, a Briton who figured in a confrontation known as the Corfu incident, died on July 3 at his home in Wiltshire, England."
38871,LEONARD GREBLA,"Leonard Grebla, senior director of marketing in the Western Hemisphere for the Hilton International Company, died of a heart attack Sunday."
5528,"J. Austin Lyons Jr., 75, Ex-Met Life Counsel","J. Austin Lyons Jr., a former general counsel at the Metropolitan Life Insurance Company, died on Jan. 8 at Sarasota Memorial Hospital in Sarasota, Fla."
54790,"Rolf Myller, 79, an Architect and Writer","Rolf Myller, an architect whose eclectic pursuits included writing children's books, puzzle books and guides to erotic games and Chinese food, died on Thursday at Mount Sinai Hospital in Manhattan."
27826,"Craig Thomas, 74, G.O.P Senator From Wyoming, Dies","Senator Craig Thomas, a Wyoming Republican who combined a deep love of Western rural life with a 23-year public career in his home state and Washington, died Monday evening in Bethesda, Md."
