Full Name,Last Name,Date of Death
Gov. Endicott Peabody,Peabody,12/1/1997
Gov. John Anthony Volpe,Volpe,9/11/1994
,,
Gov. Foster John Furcolo,Furcolo,7/5/1995
Gov. Robert Fiske Bradford,Bradford,3/18/1983
Gov. George Wilcken Romney,Romney,7/26/1995
Gov. John Burley Swainson,Swainson,5/13/1994
Gov. Gerhard Mennen Williams,Williams,2/2/1988
Gov. Murray Delos Van Wagoner,Wagoner,6/13/1986
Gov. Rudolph George Perpich,Perpich,9/21/1995
,,
Gov. Wendell Richard Anderson,Anderson,7/17/2016
Gov. Harold LeVander,LeVander,3/30/1992
Gov. Karl Fritjof Rolvaag,Rolvaag,12/20/1990
Gov. Elmer Lee Anderson,Anderson,11/15/2004
Gov. Orville Lothrop Freeman,Freeman,2/20/2003
Gov. Clyde Elmer Anderson,Anderson,1/22/1998
Gov. Harold Edward Stassen,Stassen,3/4/2001
Gov. Elmer Austin Benson,Benson,3/13/1985
Gov. Daniel Kirkwood Fordice,Fordice,9/7/2004
Gov. William A. Allain,Allain,12/2/2013
Gov. Charles Clifton Finch,Finch,4/22/1986
Gov. William Lowe Waller,Waller,11/30/2011
Gov. John Bell Williams,Williams,3/25/1983
Gov. Paul B. Johnson Jr.,Jr.,10/14/1985
Gov. Ross Robert Barnett,Barnett,11/6/1987
Gov. James Plemon Coleman,Coleman,9/29/1991
Gov. Mel Eugene Carnahan,Carnahan,10/16/2000
Gov. Joseph P. Teasdale,Teasdale,5/18/2014
Gov. Warren E. Hearnes,Hearnes,8/16/2009
Gov. Forrest C. Donnell,Donnell,3/3/1980
Gov. Judy Martz,Martz,10/30/2017
Gov. Thomas Lee Judge,Judge,9/8/2006
Gov. Forrest H. Anderson,Anderson,7/20/1989
Gov. Tim M. Babcock,Babcock,4/7/2015
Gov. Charles Thone,Thone,3/7/2018
Gov. John James Exon,Exon,6/10/2005
Gov. Norbert T. Tiemann,Tiemann,6/19/2012
Gov. Frank Brenner Morrison,Morrison,4/19/2004
Gov. Dwight Willard Burney,Burney,3/10/1987
Gov. Robert Berkey Crosby,Crosby,1/7/2000
Gov. Frederick Valdemar Erastus (Val) Peterson,Peterson,10/17/1983
Gov. Kenny Guinn,Guinn,7/22/2010
Gov. Mike O'Callaghan,O'Callaghan,3/5/2004
Gov. Paul Dominque Laxalt,Laxalt,8/6/2018
Gov. Grant Sawyer,Sawyer,2/19/1996
Gov. Charles Hinton Russell,Russell,9/13/1989
Gov. Vesta M. Roy,Roy,2/8/2002
Gov. Hugh J. Gallen,Gallen,12/29/1982
Gov. Meldrim Thomson,Thomson,4/19/2001
Gov. Walter Peterson,Peterson,6/1/2011
Gov. John William King,King,8/9/1996
Gov. Wesley Powell,Powell,1/6/1981
Gov. Lane Dwinell,Dwinell,3/27/1997
Gov. Hugh Gregg,Gregg,9/24/2003
Gov. Llewelyn Sherman Adams,Adams,10/27/1986
Gov. Brendan Thomas Byrne,Byrne,1/4/2018
Gov. William T. Cahill,Cahill,7/1/1996
Gov. Richard Joseph Hughes,Hughes,12/7/1992
Gov. Robert Baumie Meyner,Meyner,5/27/1990
Gov. Bruce King,King,11/13/2009
,,
,,
Gov. David Francis Cargo,Cargo,7/5/2013
Gov. Jack M. Campbell,Campbell,6/14/1999
Gov. Thomas Felix Bolack,Bolack,5/20/1998
Gov. Edwin Leard Mechem,Mechem,11/27/2002
,,
,,
Gov. Mario Matthew Cuomo,Cuomo,1/1/2015
Gov. Hugh Leo Carey,Carey,8/7/2011
Gov. Malcolm Wilson,Wilson,3/13/2000
Gov. William Averell Harriman,Harriman,7/26/1986
Gov. Charles Poletti,Poletti,8/8/2002
Gov. James E. Holshouser,Holshouser,6/17/2013
Gov. Dan Killian Moore,Moore,7/7/1986
Gov. James Terry Sanford,Sanford,4/18/1998
Gov. Arthur Albert Link,Link,6/1/2010
Gov. William Lewis Guy,Guy,4/26/2013
Gov. John Edward Davis,Davis,5/12/1990
Gov. Lorenzo I. De Leon Guerrero,Guerrero,10/6/2006
Gov. George V. Voinovich,Voinovich,6/12/2016
Gov. John Joyce Gilligan,Gilligan,8/26/2013
Gov. James Allen Rhodes,Rhodes,3/4/2001
,,
Gov. Michael Vincent DiSalle,DiSalle,9/16/1981
Gov. John William Brown,Brown,10/29/1993
Gov. Frank John Lausche,Lausche,4/21/1990
,,
Gov. John William Bricker,Bricker,3/22/1986
Gov. Raymond Dancel Gary,Gary,12/11/1993
Gov. Henry Louis Bellmon,Bellmon,9/29/2009
,,
Gov. Victor G. Atiyeh,Atiyeh,7/20/2014
Gov. Robert William Straub,Straub,11/27/2002
Gov. Thomas Lawson McCall,McCall,1/8/1983
Gov. Mark Odom Hatfield,Hatfield,8/7/2011
Gov. Robert P. Casey,Casey,5/30/2000
Gov. Milton Jerrold Shapp,Shapp,11/24/1994
Gov. Raymond Philip Shafer,Shafer,12/12/2006
Gov. William W. Scranton,Scranton,7/28/2013
Gov. George Michael Leader,Leader,5/9/2013
Gov. Luis A. Ferre,Ferre,10/21/2003
Gov. Roberto Sanchez-Vilella,Sanchez-Vilella,3/25/1997
Gov. Bruce G. Sundlun,Sundlun,7/21/2011
Gov. J. Joseph Garrahy,Garrahy,1/24/2012
Gov. Frank Licht,Licht,5/30/1987
Gov. John Hubbard Chafee,Chafee,10/24/1999
Gov. John A. Notte,Notte,3/7/1983
Gov. Dennis Joseph Roberts,Roberts,6/30/1994
Gov. John Sammon McKiernan,McKiernan,3/9/1997
Gov. John Orlando Pastore,Pastore,7/15/2000
Gov. William Henry Vanderbilt,Vanderbilt,4/14/1981
Gov. Carroll A. Campbell,Campbell,12/7/2005
Gov. James Burrows Edwards,Edwards,12/26/2014
Gov. John Carl West,West,3/21/2004
Gov. Donald Stuart Russell,Russell,2/22/1998
Gov. George Bell Timmerman,Timmerman,11/29/1994
Gov. James Strom Thurmond,Thurmond,6/26/2003
Gov. Sigurd Anderson,Anderson,12/21/1990
Gov. Joseph Jacob Foss,Foss,1/1/2003
Gov. Archie Gubbrud,Gubbrud,4/26/1987
Gov. Nils Andreas Boe,Boe,7/30/1992
Gov. Richard Francis Kneip,Kneip,3/9/1987
Gov. William J. Janklow,Janklow,1/12/2012
,,
Gov. George S. Mickelson,Mickelson,4/19/1993
Gov. Walter D. Miller,Miller,9/28/2015
Gov. Ned Ray McWherter,McWherter,4/4/2011
Gov. Ray Blanton,Blanton,11/22/1996
Gov. Dorothy Ann Willis Richards,Richards,9/13/2006
"Gov. William P. Clements, Jr.",Clements,5/28/2011
,,
Gov. Dolph Briscoe,Briscoe,6/27/2010
Gov. Preston Smith,Smith,10/18/2003
Gov. John Bowden Connally,Connally,6/15/1993
Gov. Price Daniel,Daniel,8/25/1988
Gov. Allan Shivers,Shivers,1/14/1985
Gov. Norman Howard Bangerter,Bangerter,4/14/2015
Gov. Scott M. Matheson,Matheson,10/7/1990
Gov. Calvin Lewellyn Rampton,Rampton,9/16/2007
Gov. Joseph Bracken Lee,Lee,10/20/1996
Gov. Herbert Brown Maw,Maw,11/17/1990
Gov. Richard A. Snelling,Snelling,8/14/1991
,,
Gov. Deane C. Davis,Davis,12/8/1990
Gov. Philip Henderson Hoff,Hoff,4/27/2018
Gov. F. Ray Keyser,Keyser,3/7/2015
Gov. Robert T. Stafford,Stafford,12/23/2006
Gov. Joseph Blaine Johnson,Johnson,10/25/1986
Gov. George D. Aiken,Aiken,11/19/1984
Gov. Alexander A. Farrelly,Farrelly,9/10/2002
Gov. Juan Francisco Luis,Luis,6/3/2011
Gov. Melvin Herbert Evans,Evans,11/27/1984
