name,dod,gov_of
Richard J. Hughes,1992-12-07T00:00:00Z,Governor of New Jersey
Louis J. Brann,1948-02-03T00:00:00Z,Governor of Maine
William T. Cobb,1937-07-24T00:00:00Z,Governor of Maine
Edward Kavanagh,1844-01-22T00:00:00Z,Governor of Maine
John Fremont Hill,1912-03-16T00:00:00Z,Governor of Maine
Oakley C. Curtis,1924-02-22T00:00:00Z,Governor of Maine
Horace Hildreth,1988-06-02T00:00:00Z,Governor of Maine
Ralph Owen Brewster,1961-12-25T00:00:00Z,Governor of Maine
Philip W. McKinney,1899-03-01T00:00:00Z,Governor of Virginia
William E. Cameron,1927-01-25T00:00:00Z,Governor of Virginia
George William Smith,1811-12-26T00:00:00Z,Governor of Virginia
Wilson Cary Nicholas,1820-10-10T00:00:00Z,Governor of Virginia
John Rutherfoord,1866-08-03T00:00:00Z,Governor of Virginia
Peyton Randolph,1828-12-26T00:00:00Z,Governor of Virginia
Oliver Wolcott,1833-06-01T00:00:00Z,Governor of Connecticut
William Pitkin,1769-10-01T00:00:00Z,Governor of Connecticut
Hobart B. Bigelow,1891-10-12T00:00:00Z,Governor of Connecticut
Edmund Andros,1714-02-24T00:00:00Z,Governor of Connecticut
Jonathan Law,1750-11-06T00:00:00Z,Governor of Connecticut
Roger Griswold,1812-10-25T00:00:00Z,Governor of Connecticut
Oliver Wolcott,1797-12-01T00:00:00Z,Governor of Connecticut
Morgan Foster Larson,1961-03-21T00:00:00Z,Governor of New Jersey
Charles Smith Olden,1876-04-07T00:00:00Z,Governor of New Jersey
George C. Ludlow,1900-12-18T00:00:00Z,Governor of New Jersey
Robert Stockton Green,1895-05-07T00:00:00Z,Governor of New Jersey
George Theodore Werts,1910-01-17T00:00:00Z,Governor of New Jersey
Foster McGowan Voorhees,1927-06-14T00:00:00Z,Governor of New Jersey
Joseph R. Bodwell,1887-12-15T00:00:00Z,Governor of Maine
Benjamin Ames,1835-09-28T00:00:00Z,Governor of Maine
Enoch Lincoln,1829-10-08T00:00:00Z,Governor of Maine
Samuel Wells,1868-07-15T00:00:00Z,Governor of Maine
Joshua Hall,1862-12-25T00:00:00Z,Governor of Maine
Jonathan G. Hunton,1851-10-12T00:00:00Z,Governor of Maine
Daniel Rose,1833-10-25T00:00:00Z,Governor of Maine
Alfred H. Colquitt,1894-03-26T00:00:00Z,Governor of Georgia
George W. Crawford,1872-07-27T00:00:00Z,Governor of Georgia
Herman Talmadge,2002-03-21T00:00:00Z,Governor of Georgia
George Busbee,2004-07-16T00:00:00Z,Governor of Georgia
Joseph M. Terrell,1912-11-17T00:00:00Z,Governor of Georgia
Carl E. Milliken,1961-05-01T00:00:00Z,Governor of Maine
Albion Parris,1857-02-11T00:00:00Z,Governor of Maine
Edwin C. Burleigh,1916-06-16T00:00:00Z,Governor of Maine
John Fairfield,1847-12-24T00:00:00Z,Governor of Maine
Anson Morrill,1887-07-04T00:00:00Z,Governor of Maine
Frederic Hale Parkhurst,1921-01-31T00:00:00Z,Governor of Maine
Gurdon Saltonstall,1724-09-20T00:00:00Z,Governor of Connecticut
Marshall Jewell,1883-02-10T00:00:00Z,Governor of Connecticut
Henry W. Edwards,1847-07-22T00:00:00Z,Governor of Connecticut
Jonathan Trumbull,1785-08-17T00:00:00Z,Governor of Connecticut
David Emanuel,1808-02-19T00:00:00Z,Governor of Georgia
Edward Telfair,1807-09-17T00:00:00Z,Governor of Georgia
John Clark,1832-10-12T00:00:00Z,Governor of Georgia
Ellis Arnall,1992-12-13T00:00:00Z,Governor of Georgia
Eugene Talmadge,1946-12-21T00:00:00Z,Governor of Georgia
John M. Slaton,1955-01-11T00:00:00Z,Governor of Georgia
Button Gwinnett,1777-05-19T00:00:00Z,Governor of Georgia
George Mathews,1812-08-30T00:00:00Z,Governor of Georgia
Carl Sanders,2014-11-16T00:00:00Z,Governor of Georgia
Jared Irwin,1818-03-01T00:00:00Z,Governor of Georgia
Thomas H. Ruger,1907-06-03T00:00:00Z,Governor of Georgia
John Davis Lodge,1985-10-29T00:00:00Z,Governor of Connecticut
William Alfred Buckingham,1875-02-05T00:00:00Z,Governor of Connecticut
Samuel Ward King,1851-01-20T00:00:00Z,Governor of Rhode Island
Ambrose Burnside,1881-09-13T00:00:00Z,Governor of Rhode Island
Nicholas Cooke,1782-09-14T00:00:00Z,Governor of Rhode Island
William Sprague,1915-09-11T00:00:00Z,Governor of Rhode Island
Nehemiah R. Knight,1854-04-18T00:00:00Z,Governor of Rhode Island
John Brown Francis,1864-08-09T00:00:00Z,Governor of Rhode Island
Eli C. D. Shortridge,1908-02-04T00:00:00Z,Governor of North Dakota
Roger Allin,1936-01-01T00:00:00Z,Governor of North Dakota
Frederick B. Fancher,1944-01-10T00:00:00Z,Governor of North Dakota
Joseph M. Devine,1938-08-31T00:00:00Z,Governor of North Dakota
Elmore Y. Sarles,1929-02-14T00:00:00Z,Governor of North Dakota
L. B. Hanna,1948-04-23T00:00:00Z,Governor of North Dakota
Ragnvald A. Nestos,1942-07-15T00:00:00Z,Governor of North Dakota
Robert P. Dunlap,1859-10-20T00:00:00Z,Governor of Maine
Frederick G. Payne,1978-06-15T00:00:00Z,Governor of Maine
William D. Williamson,1846-05-27T00:00:00Z,Governor of Maine
William Tudor Gardiner,1953-08-03T00:00:00Z,Governor of Maine
William Gorges,1658-02-01T00:00:00Z,Governor of Maine
John Forsyth,1841-10-21T00:00:00Z,Governor of Georgia
Benjamin F. Conley,1886-01-10T00:00:00Z,Governor of Georgia
Howell Cobb,1868-10-09T00:00:00Z,Governor of Georgia
George Walton,1804-02-02T00:00:00Z,Governor of Georgia
Wilson Lumpkin,1870-12-28T00:00:00Z,Governor of Georgia
George Troup,1856-04-26T00:00:00Z,Governor of Georgia
Rufus Bullock,1907-04-27T00:00:00Z,Governor of Georgia
Melvin E. Thompson,1980-10-03T00:00:00Z,Governor of Georgia
Walter Evans Edge,1956-10-29T00:00:00Z,Governor of New Jersey
John Franklin Fort,1920-11-17T00:00:00Z,Governor of New Jersey
James Fairman Fielder,1954-12-02T00:00:00Z,Governor of New Jersey
William Nelson Runyon,1931-11-09T00:00:00Z,Governor of New Jersey
Leon Rutherford Taylor,1924-04-01T00:00:00Z,Governor of New Jersey
George Sebastian Silzer,1940-10-16T00:00:00Z,Governor of New Jersey
Clarence E. Case,1961-09-03T00:00:00Z,Governor of New Jersey
William O'Neill,2007-11-24T00:00:00Z,Governor of Connecticut
Chester Bowles,1986-05-25T00:00:00Z,Governor of Connecticut
Jonathan Trumbull,1809-08-07T00:00:00Z,Governor of Connecticut
Isaac Toucey,1869-07-30T00:00:00Z,Governor of Connecticut
Henry Baldwin Harrison,1901-10-29T00:00:00Z,Governor of Connecticut
Samuel A. Foot,1846-09-15T00:00:00Z,Governor of Connecticut
John Winthrop the Younger,1676-04-06T00:00:00Z,Governor of Connecticut
Rollin S. Woodruff,1925-06-30T00:00:00Z,Governor of Connecticut
Thomas M. Waller,1924-01-24T00:00:00Z,Governor of Connecticut
Lorrin A. Cooke,1902-08-12T00:00:00Z,Governor of Connecticut
Thomas Joseph Meskill,2007-10-29T00:00:00Z,Governor of Connecticut
Ella T. Grasso,1981-02-05T00:00:00Z,Governor of Connecticut
Brendan Byrne,2018-01-04T00:00:00Z,Governor of New Jersey
Leon Abbett,1894-12-04T00:00:00Z,Governor of New Jersey
William T. Cahill,1996-07-01T00:00:00Z,Governor of New Jersey
Garret D. Wall,1850-11-22T00:00:00Z,Governor of New Jersey
Harold G. Hoffman,1954-06-04T00:00:00Z,Governor of New Jersey
Clifford Ross Powell,1973-03-30T00:00:00Z,Governor of New Jersey
Horace Baker,1941-12-07T00:00:00Z,Governor of New Jersey
Henry Howard,1905-09-22T00:00:00Z,Governor of Rhode Island
Aram J. Pothier,1928-02-04T00:00:00Z,Governor of Rhode Island
William Henry Vanderbilt III,1981-04-14T00:00:00Z,Governor of Rhode Island
Arthur Fenner,1805-10-15T00:00:00Z,Governor of Rhode Island
James Howard McGrath,1966-09-02T00:00:00Z,Governor of Rhode Island
Augustus O. Bourn,1925-01-28T00:00:00Z,Governor of Rhode Island
George H. Utter,1912-11-03T00:00:00Z,Governor of Rhode Island
James Fenner,1846-04-17T00:00:00Z,Governor of Rhode Island
John O. Pastore,2000-07-15T00:00:00Z,Governor of Rhode Island
Lucius F. C. Garvin,1922-10-02T00:00:00Z,Governor of Rhode Island
William Gregory,1901-12-16T00:00:00Z,Governor of Rhode Island
Charles D. Kimball,1930-12-08T00:00:00Z,Governor of Rhode Island
Henry Smith,1818-06-28T00:00:00Z,Governor of Rhode Island
Robert Livingston Beeckman,1935-01-21T00:00:00Z,Governor of Rhode Island
Robert Livingston Beeckman,2000-01-01T00:00:00Z,Governor of Rhode Island
Alexander H. Stephens,1883-03-04T00:00:00Z,Governor of Georgia
Lyman Hall,1790-10-19T00:00:00Z,Governor of Georgia
Archibald Bulloch,1777-02-22T00:00:00Z,Governor of Georgia
Richard Russell,1971-01-21T00:00:00Z,Governor of Georgia
John Collins,1795-03-08T00:00:00Z,Governor of Rhode Island
Norman S. Case,1967-10-09T00:00:00Z,Governor of Rhode Island
Lemuel Hastings Arnold,1852-06-27T00:00:00Z,Governor of Rhode Island
Isaac Wilbour,1837-10-04T00:00:00Z,Governor of Rhode Island
William Sprague,1856-10-19T00:00:00Z,Governor of Rhode Island
Byron Diman,1865-08-01T00:00:00Z,Governor of Rhode Island
Elisha Harris,1861-02-01T00:00:00Z,Governor of Rhode Island
William Medill,1865-09-02T00:00:00Z,Governor of Ohio
Myers Y. Cooper,1958-12-06T00:00:00Z,Governor of Ohio
Duncan McArthur,1839-04-29T00:00:00Z,Governor of Ohio
Frank Lausche,1990-04-21T00:00:00Z,Governor of Ohio
Allen Trimble,1870-02-03T00:00:00Z,Governor of Ohio
Philemon Dickerson,1862-12-10T00:00:00Z,Governor of New Jersey
Daniel Haines,1877-01-26T00:00:00Z,Governor of New Jersey
Charles Creighton Stratton,1859-03-30T00:00:00Z,Governor of New Jersey
Rodman M. Price,1894-06-07T00:00:00Z,Governor of New Jersey
Theodore Fitz Randolph,1883-11-07T00:00:00Z,Governor of New Jersey
Edward Irving Edwards,1931-01-26T00:00:00Z,Governor of New Jersey
Edward C. Stokes,1942-11-04T00:00:00Z,Governor of New Jersey
George Tyler Wood,1858-09-03T00:00:00Z,Governor of Texas
Pendleton Murrah,1865-08-04T00:00:00Z,Governor of Texas
William Henry Harrison,1841-04-04T00:00:00Z,Governor of Indiana
William W. Hoppin,1880-04-18T00:00:00Z,Governor of Rhode Island
Francis M. Dimond,1859-04-12T00:00:00Z,Governor of Rhode Island
William C. Cozzens,1876-12-17T00:00:00Z,Governor of Rhode Island
Thomas G. Turner,1875-01-03T00:00:00Z,Governor of Rhode Island
Seth Padelford,1878-08-26T00:00:00Z,Governor of Rhode Island
Charles C. Van Zandt,1894-06-04T00:00:00Z,Governor of Rhode Island
Henry Lippitt,1891-06-05T00:00:00Z,Governor of Rhode Island
John A. Mead,1920-01-12T00:00:00Z,Governor of Vermont
George Aiken,1984-11-19T00:00:00Z,Governor of Vermont
Stanley C. Wilson,1967-10-05T00:00:00Z,Governor of Vermont
Mortimer R. Proctor,1968-04-28T00:00:00Z,Governor of Vermont
Franklin S. Billings,1935-01-16T00:00:00Z,Governor of Vermont
William W. Stickney,1932-12-15T00:00:00Z,Governor of Vermont
William King,1852-06-17T00:00:00Z,Governor of Maine
Lot M. Morrill,1883-01-10T00:00:00Z,Governor of Maine
John H. Reed,2012-10-31T00:00:00Z,Governor of Maine
Henry B. Cleaves,1912-06-22T00:00:00Z,Governor of Maine
William T. Haines,1919-06-04T00:00:00Z,Governor of Maine
Nathan Cutler,1861-06-08T00:00:00Z,Governor of Maine
Edmund Muskie,1996-03-26T00:00:00Z,Governor of Maine
David Dunn,1894-02-17T00:00:00Z,Governor of Maine
Richard H. Vose,1864-01-19T00:00:00Z,Governor of Maine
Sumner Sewall,1965-01-25T00:00:00Z,Governor of Maine
Joshua Lawrence Chamberlain,1914-02-24T00:00:00Z,Governor of Maine
Seldon Connor,1917-07-09T00:00:00Z,Governor of Maine
Sidney Perham,1907-04-10T00:00:00Z,Governor of Maine
Burton M. Cross,1998-10-22T00:00:00Z,Governor of Maine
John W. Dana,1867-12-22T00:00:00Z,Governor of Maine
Abner Coburn,1885-01-04T00:00:00Z,Governor of Maine
Sebastian Streeter Marble,1902-05-10T00:00:00Z,Governor of Maine
William G. Crosby,1881-03-21T00:00:00Z,Governor of Maine
John Hubbard,1869-02-06T00:00:00Z,Governor of Maine
Joseph H. Williams,1896-07-19T00:00:00Z,Governor of Maine
Frederick W. Plaisted,1943-03-04T00:00:00Z,Governor of Maine
Lewis O. Barrows,1967-01-30T00:00:00Z,Governor of Maine
Israel Washburn,1883-05-12T00:00:00Z,Governor of Maine
Preston Smith,2003-10-18T00:00:00Z,Governor of Texas
Ross S. Sterling,1949-03-25T00:00:00Z,Governor of Texas
Dan Moody,1966-05-22T00:00:00Z,Governor of Texas
Oscar Branch Colquitt,1940-03-08T00:00:00Z,Governor of Texas
James Pinckney Henderson,1858-06-04T00:00:00Z,Governor of Texas
Peter Hansborough Bell,1898-03-08T00:00:00Z,Governor of Texas
John M. Patton,1858-10-29T00:00:00Z,Governor of Virginia
David Jameson,1793-07-10T00:00:00Z,Governor of Virginia
Horace Griggs Prall,1951-04-23T00:00:00Z,Governor of New Jersey
William Kennedy,1826-01-01T00:00:00Z,Governor of New Jersey
James Y. Smith,1876-03-26T00:00:00Z,Governor of Rhode Island
William Greene,1809-11-29T00:00:00Z,Governor of Rhode Island
John W. Davis,1907-01-25T00:00:00Z,Governor of Rhode Island
Alfred H. Littlefield,1893-12-21T00:00:00Z,Governor of Rhode Island
George P. Wetmore,1921-09-11T00:00:00Z,Governor of Rhode Island
Royal C. Taft,1912-06-04T00:00:00Z,Governor of Rhode Island
"Redfield Proctor, Jr.",1957-02-05T00:00:00Z,Governor of Vermont
Roswell Farnham,1903-01-05T00:00:00Z,Governor of Vermont
Stephen Royce,1868-11-11T00:00:00Z,Governor of Vermont
Carlos Coolidge,1866-08-15T00:00:00Z,Governor of Vermont
F. Ray Keyser,2015-03-07T00:00:00Z,Governor of Vermont
John S. Robinson,1860-04-25T00:00:00Z,Governor of Vermont
Matthew Griswold,1799-04-28T00:00:00Z,Governor of Connecticut
George E. Lounsbury,1904-08-16T00:00:00Z,Governor of Connecticut
James Hartness,1934-02-02T00:00:00Z,Governor of Vermont
John B. Page,1885-10-24T00:00:00Z,Governor of Vermont
J. Gregory Smith,1891-11-06T00:00:00Z,Governor of Vermont
Horace F. Graham,1941-11-23T00:00:00Z,Governor of Vermont
Paul Dillingham,1891-07-26T00:00:00Z,Governor of Vermont
William Henry Wills,1946-03-06T00:00:00Z,Governor of Vermont
John Bell,1836-03-22T00:00:00Z,Governor of New Hampshire
John Langdon,1819-09-18T00:00:00Z,Governor of New Hampshire
Anthony Colby,1873-07-13T00:00:00Z,Governor of New Hampshire
Levi Woodbury,1851-09-04T00:00:00Z,Governor of New Hampshire
Meshech Weare,1786-01-14T00:00:00Z,Governor of New Hampshire
Wesley Powell,1981-01-06T00:00:00Z,Governor of New Hampshire
Thomas A. Hendricks,1885-11-25T00:00:00Z,Governor of Indiana
Abram A. Hammond,1874-08-27T00:00:00Z,Governor of Indiana
Henry Smith Lane,1881-06-18T00:00:00Z,Governor of Indiana
James A. Mount,1901-01-16T00:00:00Z,Governor of Indiana
Isaac Tichenor,1838-12-11T00:00:00Z,Governor of Vermont
Asahel Peck,1879-05-18T00:00:00Z,Governor of Vermont
Redfield Proctor,1908-03-04T00:00:00Z,Governor of Vermont
Deane C. Davis,1990-12-08T00:00:00Z,Governor of Vermont
Ebenezer J. Ormsbee,1924-04-03T00:00:00Z,Governor of Vermont
William Paul Dillingham,1923-07-12T00:00:00Z,Governor of Vermont
John Chafee,1999-10-24T00:00:00Z,Governor of Rhode Island
Charles W. Lippitt,1924-04-04T00:00:00Z,Governor of Rhode Island
Daniel Russell Brown,1919-02-28T00:00:00Z,Governor of Rhode Island
William C. Gibbs,1871-02-24T00:00:00Z,Governor of Rhode Island
J. Joseph Garrahy,2012-01-24T00:00:00Z,Governor of Rhode Island
Bruce Sundlun,2011-07-21T00:00:00Z,Governor of Rhode Island
Thomas W. Hardwick,1944-01-31T00:00:00Z,Governor of Georgia
Charles J. Jenkins,1883-06-14T00:00:00Z,Governor of Georgia
Lester Maddox,2003-06-25T00:00:00Z,Governor of Georgia
John Milledge,1818-02-09T00:00:00Z,Governor of Georgia
Ernest Vandiver,2005-02-21T00:00:00Z,Governor of Georgia
William Schley,1858-11-20T00:00:00Z,Governor of Georgia
James B. Longley,1980-08-16T00:00:00Z,Governor of Maine
Bert M. Fernald,1926-08-23T00:00:00Z,Governor of Maine
Llewellyn Powers,1908-07-28T00:00:00Z,Governor of Maine
Nelson Dingley,1899-01-13T00:00:00Z,Governor of Maine
Percival Proctor Baxter,1969-06-12T00:00:00Z,Governor of Maine
Percival Proctor Baxter,1969-12-06T00:00:00Z,Governor of Maine
William Livingston,1790-07-25T00:00:00Z,Governor of New Jersey
Mahlon Dickerson,1853-10-05T00:00:00Z,Governor of New Jersey
Samuel L. Southard,1842-06-26T00:00:00Z,Governor of New Jersey
Charles Edison,1969-07-31T00:00:00Z,Governor of New Jersey
Samuel C. Crafts,1853-11-19T00:00:00Z,Governor of Vermont
Allen M. Fletcher,1922-05-11T00:00:00Z,Governor of Vermont
John Wolcott Stewart,1915-10-29T00:00:00Z,Governor of Vermont
Percival W. Clement,1927-01-09T00:00:00Z,Governor of Vermont
Thomas Chittenden,1797-08-25T00:00:00Z,Governor of Vermont
Julius Converse,1885-08-16T00:00:00Z,Governor of Vermont
George Whitman Hendee,1906-12-06T00:00:00Z,Governor of Vermont
Harold J. Arthur,1971-07-19T00:00:00Z,Governor of Vermont
Ernest W. Gibson,1969-11-04T00:00:00Z,Governor of Vermont
Richard A. Snelling,1991-08-13T00:00:00Z,Governor of Vermont
Peter T. Washburn,1870-02-07T00:00:00Z,Governor of Vermont
John Mattocks,1847-08-14T00:00:00Z,Governor of Vermont
Urban A. Woodbury,1915-04-15T00:00:00Z,Governor of Vermont
Horace Eaton,1855-07-04T00:00:00Z,Governor of Vermont
William Slade,1859-01-16T00:00:00Z,Governor of Vermont
Levi K. Fuller,1896-10-10T00:00:00Z,Governor of Vermont
Josiah Grout,1925-07-19T00:00:00Z,Governor of Vermont
Edward Curtis Smith,1935-04-06T00:00:00Z,Governor of Vermont
Hugh J. Anderson,1881-05-31T00:00:00Z,Governor of Maine
Alonzo Garcelon,1906-12-08T00:00:00Z,Governor of Maine
Samuel Cony,1870-10-05T00:00:00Z,Governor of Maine
Samuel E. Smith,1860-03-03T00:00:00Z,Governor of Maine
Hannibal Hamlin,1891-07-04T00:00:00Z,Governor of Maine
James W. Henderson,1880-08-30T00:00:00Z,Governor of Texas
Joseph D. Sayers,1929-05-15T00:00:00Z,Governor of Texas
James E. Ferguson,1944-09-21T00:00:00Z,Governor of Texas
Frank O'Bannon,2003-09-13T00:00:00Z,Governor of Indiana
Ratliff Boon,1844-11-20T00:00:00Z,Governor of Indiana
Thomas R. Marshall,1925-06-01T00:00:00Z,Governor of Indiana
Edward Kent,1877-05-19T00:00:00Z,Governor of Maine
Clinton Clauson,1959-12-30T00:00:00Z,Governor of Maine
Robert Haskell,1987-12-03T00:00:00Z,Governor of Maine
Nathaniel M. Haskell,1983-02-08T00:00:00Z,Governor of Maine
Daniel F. Davis,1897-01-09T00:00:00Z,Governor of Maine
Josiah Bartlett,1795-05-19T00:00:00Z,Governor of New Hampshire
Huntley Nowel Spaulding,1955-11-14T00:00:00Z,Governor of New Hampshire
David L. Morril,1849-01-28T00:00:00Z,Governor of New Hampshire
Sherman Adams,1986-10-27T00:00:00Z,Governor of New Hampshire
Benjamin F. Prescott,1895-02-21T00:00:00Z,Governor of New Hampshire
Benjamin Pierce,1839-04-01T00:00:00Z,Governor of New Hampshire
Emory Washburn,1877-03-18T00:00:00Z,Governor of Massachusetts
Oliver Ames,1895-10-22T00:00:00Z,Governor of Massachusetts
Henry Gardner,1892-07-21T00:00:00Z,Governor of Massachusetts
Eugene Foss,1939-09-13T00:00:00Z,Governor of Massachusetts
Samuel Walker McCall,1923-11-04T00:00:00Z,Governor of Massachusetts
Alvan Tufts Fuller,1958-04-30T00:00:00Z,Governor of Massachusetts
Christian Herter,1966-12-30T00:00:00Z,Governor of Massachusetts
John Hancock,1793-10-08T00:00:00Z,Governor of Massachusetts
Maurice J. Tobin,1953-07-19T00:00:00Z,Governor of Massachusetts
Walter Welford,1952-06-28T00:00:00Z,Governor of North Dakota
Fred G. Aandahl,1966-04-07T00:00:00Z,Governor of North Dakota
William Langer,1959-11-08T00:00:00Z,Governor of North Dakota
Andrew H. Burke,1918-11-17T00:00:00Z,Governor of North Dakota
Arthur G. Sorlie,1928-08-28T00:00:00Z,Governor of North Dakota
Walter Maddock,1951-01-25T00:00:00Z,Governor of North Dakota
George F. Shafer,1948-08-13T00:00:00Z,Governor of North Dakota
Ole H. Olson,1954-01-29T00:00:00Z,Governor of North Dakota
John Moses,1945-03-03T00:00:00Z,Governor of North Dakota
Silas Garber,1905-01-12T00:00:00Z,Governor of Nebraska
Charles Thone,2018-03-07T00:00:00Z,Governor of Nebraska
Adam McMullen,1959-03-02T00:00:00Z,Governor of Nebraska
John Milton Thayer,1906-03-19T00:00:00Z,Governor of Nebraska
Dwight Griswold,1954-04-12T00:00:00Z,Governor of Nebraska
David Butler,1891-05-25T00:00:00Z,Governor of Nebraska
Frederick Robie,1912-02-03T00:00:00Z,Governor of Maine
Harris M. Plaisted,1898-01-31T00:00:00Z,Governor of Maine
Arthur A. Link,2010-06-01T00:00:00Z,Governor of North Dakota
John Burke,1937-05-14T00:00:00Z,Governor of North Dakota
Clarence Norman Brunsdale,1978-01-27T00:00:00Z,Governor of North Dakota
John H. Clifford,1876-01-02T00:00:00Z,Governor of Massachusetts
Henry W. Keyes,1938-02-19T00:00:00Z,Governor of New Hampshire
John Taylor Gilman,1828-08-31T00:00:00Z,Governor of New Hampshire
John Gilbert Winant,1947-11-03T00:00:00Z,Governor of New Hampshire
Samuel Adams,1803-10-02T00:00:00Z,Governor of Massachusetts
Elbridge Gerry,1814-11-23T00:00:00Z,Governor of Massachusetts
John E. Davis,1990-05-12T00:00:00Z,Governor of North Dakota
John Miller,1908-10-26T00:00:00Z,Governor of North Dakota
"William Eugene Stanley, Sr.",1910-10-13T00:00:00Z,Governor of Kansas
George H. Prouty,1918-08-18T00:00:00Z,Governor of Vermont
Carroll S. Page,1925-12-03T00:00:00Z,Governor of Vermont
Frederick Holbrook,1909-04-28T00:00:00Z,Governor of Vermont
Charles W. Gates,1927-07-01T00:00:00Z,Governor of Vermont
Ryland Fletcher,1885-12-19T00:00:00Z,Governor of Vermont
Charles Manley Smith,1937-08-12T00:00:00Z,Governor of Vermont
Edward Everett,1865-01-15T00:00:00Z,Governor of Massachusetts
Thomas Talbot,1886-10-06T00:00:00Z,Governor of Massachusetts
William Claflin,1905-01-05T00:00:00Z,Governor of Massachusetts
Channing H. Cox,1968-08-20T00:00:00Z,Governor of Massachusetts
John Eliakim Weeks,1949-09-10T00:00:00Z,Governor of Vermont
John G. McCullough,1915-05-29T00:00:00Z,Governor of Vermont
Fletcher D. Proctor,1911-09-27T00:00:00Z,Governor of Vermont
Richard Skinner,1833-05-23T00:00:00Z,Governor of Vermont
Charles J. Bell,1909-09-25T00:00:00Z,Governor of Vermont
Erastus Fairbanks,1864-11-20T00:00:00Z,Governor of Vermont
William Hendricks,1850-05-16T00:00:00Z,Governor of Indiana
Isaac P. Gray,1895-02-14T00:00:00Z,Governor of Indiana
Edward L. Jackson,1954-11-18T00:00:00Z,Governor of Indiana
Claude Matthews,1898-04-28T00:00:00Z,Governor of Indiana
Conrad Baker,1885-04-28T00:00:00Z,Governor of Indiana
David Wallace,1859-09-04T00:00:00Z,Governor of Indiana
M. Clifford Townsend,1954-11-11T00:00:00Z,Governor of Indiana
Onslow Stearns,1878-12-29T00:00:00Z,Governor of New Hampshire
Charles A. Busiel,1901-08-29T00:00:00Z,Governor of New Hampshire
Charles H. Sawyer,1908-01-18T00:00:00Z,Governor of New Hampshire
Charles M. Floyd,1923-02-03T00:00:00Z,Governor of New Hampshire
Chester B. Jordan,1914-08-24T00:00:00Z,Governor of New Hampshire
Ichabod Goodwin,1882-07-04T00:00:00Z,Governor of New Hampshire
David H. Goodell,1915-01-22T00:00:00Z,Governor of New Hampshire
John L. Barstow,1913-06-28T00:00:00Z,Governor of Vermont
William A. Palmer,1860-12-03T00:00:00Z,Governor of Vermont
Israel Smith,1810-12-02T00:00:00Z,Governor of Vermont
Hiland Hall,1885-12-18T00:00:00Z,Governor of Vermont
Robert Stafford,2006-12-23T00:00:00Z,Governor of Vermont
Ashton C. Shallenberger,1938-02-22T00:00:00Z,Governor of Nebraska
Robert Leroy Cochran,1963-02-23T00:00:00Z,Governor of Nebraska
Frank B. Morrison,2004-04-19T00:00:00Z,Governor of Nebraska
Dwight W. Burney,1987-03-10T00:00:00Z,Governor of Nebraska
George L. Sheldon,1960-04-04T00:00:00Z,Governor of Nebraska
Samuel Roy McKelvie,1956-01-06T00:00:00Z,Governor of Nebraska
William H. James,1920-02-01T00:00:00Z,Governor of Nebraska
John H. Morehead,1942-05-31T00:00:00Z,Governor of Nebraska
Val Peterson,1983-10-17T00:00:00Z,Governor of Nebraska
Ralph G. Brooks,1960-09-09T00:00:00Z,Governor of Nebraska
Robert Wilkinson Furnas,1905-06-01T00:00:00Z,Governor of Nebraska
Charles W. Bryan,1945-03-04T00:00:00Z,Governor of Nebraska
James E. Boyd,1906-04-30T00:00:00Z,Governor of Nebraska
Francis W. Sargent,1998-10-21T00:00:00Z,Governor of Massachusetts
Robert F. Bradford,1983-03-18T00:00:00Z,Governor of Massachusetts
Edward J. King,2006-09-18T00:00:00Z,Governor of Massachusetts
William Gaston,1894-01-19T00:00:00Z,Governor of Massachusetts
Charles F. Hurley,1946-03-24T00:00:00Z,Governor of Massachusetts
Eben Sumner Draper,1914-04-09T00:00:00Z,Governor of Massachusetts
Albinus Nance,1911-12-07T00:00:00Z,Governor of Nebraska
Nelson Rockefeller,1979-01-26T00:00:00Z,Governor of New York
Martin Van Buren,1862-07-24T00:00:00Z,Governor of New York
Booth Gardner,2013-03-15T00:00:00Z,Governor of Washington
Clarence D. Martin,1955-08-11T00:00:00Z,Governor of Washington
Elisha P. Ferry,1895-10-14T00:00:00Z,Governor of Washington
Monrad Wallgren,1961-09-18T00:00:00Z,Governor of Washington
John Rankin Rogers,1901-12-26T00:00:00Z,Governor of Washington
John McGraw,1910-06-23T00:00:00Z,Governor of Washington
Alvin Peterson Hovey,1891-11-23T00:00:00Z,Governor of Indiana
Emmett Forrest Branch,1932-02-23T00:00:00Z,Governor of Indiana
Henry F. Schricker,1966-12-28T00:00:00Z,Governor of Indiana
Ashbel P. Willard,1860-10-04T00:00:00Z,Governor of Indiana
Joseph A. Wright,1867-05-11T00:00:00Z,Governor of Indiana
Edgar Whitcomb,2016-02-04T00:00:00Z,Governor of Indiana
Oliver P. Morton,1877-11-01T00:00:00Z,Governor of Indiana
Chester Hardy Aldrich,1924-03-10T00:00:00Z,Governor of Nebraska
Victor Emanuel Anderson,1962-08-15T00:00:00Z,Governor of Nebraska
Arthur J. Weaver,1945-10-17T00:00:00Z,Governor of Nebraska
Robert B. Crosby,2000-01-07T00:00:00Z,Governor of Nebraska
J. James Exon,2005-06-10T00:00:00Z,Governor of Nebraska
Charles Henry Dietrich,1924-04-10T00:00:00Z,Governor of Nebraska
Henri de Bourbon,1611-01-01T00:00:00Z,governor
