name,dod,gov_of
Edmund Randolph,1813-09-12T00:00:00Z,Governor of Virginia
Benjamin Harrison V,1791-04-24T00:00:00Z,Governor of Virginia
Goodwin Knight,1970-05-22T00:00:00Z,Governor of California
Henry Markham,1923-10-09T00:00:00Z,Governor of California
Clement Calhoun Young,1947-12-24T00:00:00Z,Governor of California
Robert Waterman,1891-04-12T00:00:00Z,Governor of California
William Dennison Stephens,1944-04-25T00:00:00Z,Governor of California
Newton Booth,1892-07-14T00:00:00Z,Governor of California
Marcus H. Holcomb,1932-03-05T00:00:00Z,Governor of Connecticut
Simeon Eben Baldwin,1927-01-30T00:00:00Z,Governor of Connecticut
Henry Dutton,1869-04-12T00:00:00Z,Governor of Connecticut
Henry Dutton,1869-04-26T00:00:00Z,Governor of Connecticut
Samuel Huntington,1796-01-05T00:00:00Z,Governor of Connecticut
Alexander H. Holley,1887-10-02T00:00:00Z,Governor of Connecticut
Charles Roberts Ingersoll,1903-01-25T00:00:00Z,Governor of Connecticut
William T. Minor,1889-10-13T00:00:00Z,Governor of Connecticut
William H. Cabell,1853-01-12T00:00:00Z,Governor of Virginia
James Hoge Tyler,1925-01-03T00:00:00Z,Governor of Virginia
Patrick Henry,1799-06-06T00:00:00Z,Governor of Virginia
Cliff Finch,1986-04-22T00:00:00Z,Governor of Mississippi
Abram M. Scott,1833-06-12T00:00:00Z,Governor of Mississippi
Adelbert Ames,1933-04-13T00:00:00Z,Governor of Mississippi
John J. McRae,1868-05-31T00:00:00Z,Governor of Mississippi
Walter Leake,1825-11-17T00:00:00Z,Governor of Mississippi
Henry S. Foote,1880-05-20T00:00:00Z,Governor of Mississippi
Leland Stanford,1893-06-21T00:00:00Z,Governor of California
Henry Gage,1924-08-28T00:00:00Z,Governor of California
Romualdo Pacheco,1899-01-23T00:00:00Z,Governor of California
Thomas Jefferson,1826-07-04T00:00:00Z,Governor of Virginia
John McDougall,1866-03-30T00:00:00Z,Governor of California
George Stoneman,1894-09-05T00:00:00Z,Governor of California
Pat Brown,1996-02-16T00:00:00Z,Governor of California
Frank Merriam,1955-04-25T00:00:00Z,Governor of California
James Gillett,1937-04-20T00:00:00Z,Governor of California
Richard D. Hubbard,1884-02-28T00:00:00Z,Governor of Connecticut
Charles B. Andrews,1902-09-12T00:00:00Z,Governor of Connecticut
Morgan Bulkeley,1922-11-06T00:00:00Z,Governor of Connecticut
Edward Hopkins,1657-03-01T00:00:00Z,Governor of Connecticut
Fitz-John Winthrop,1707-11-27T00:00:00Z,Governor of Connecticut
Francis Newman,1660-11-18T00:00:00Z,Governor of Connecticut
George Wyllys,1645-03-09T00:00:00Z,Governor of Connecticut
Hiram Johnson,1945-08-06T00:00:00Z,Governor of California
John Downey,1894-03-01T00:00:00Z,Governor of California
John Tyler,1862-01-18T00:00:00Z,Governor of Virginia
David Campbell,1859-03-19T00:00:00Z,Governor of Virginia
Robert A. Hurley,1968-05-03T00:00:00Z,Governor of Connecticut
John Cotton Smith,1845-12-07T00:00:00Z,Governor of Connecticut
James L. McConaughy,1948-03-07T00:00:00Z,Governor of Connecticut
John N. Dempsey,1989-07-16T00:00:00Z,Governor of Connecticut
Roger Sherman Baldwin,1863-02-19T00:00:00Z,Governor of Connecticut
Gideon Tomlinson,1854-10-08T00:00:00Z,Governor of Connecticut
Chauncey Fitch Cleveland,1887-06-06T00:00:00Z,Governor of Connecticut
John Marshall Stone,1900-03-26T00:00:00Z,Governor of Mississippi
William L. Sharkey,1873-03-30T00:00:00Z,Governor of Mississippi
John J. Pettus,1867-01-28T00:00:00Z,Governor of Mississippi
Ridgley C. Powers,1912-11-11T00:00:00Z,Governor of Mississippi
William McWillie,1869-03-03T00:00:00Z,Governor of Mississippi
George Deukmejian,2018-05-08T00:00:00Z,Governor of California
George Pardee,1941-09-01T00:00:00Z,Governor of California
Vernon Wallace Thomson,1988-04-02T00:00:00Z,Governor of Wisconsin
Nelson Dewey,1889-07-21T00:00:00Z,Governor of Wisconsin
Leonard J. Farwell,1889-04-10T00:00:00Z,Governor of Wisconsin
Coles Bashford,1878-04-25T00:00:00Z,Governor of Wisconsin
William A. Barstow,1865-12-13T00:00:00Z,Governor of Wisconsin
Louis P. Harvey,1862-04-19T00:00:00Z,Governor of Wisconsin
William Robert Taylor,1909-03-17T00:00:00Z,Governor of Wisconsin
Earl L. Brewer,1942-03-10T00:00:00Z,Governor of Mississippi
James L. Alcorn,1894-12-19T00:00:00Z,Governor of Mississippi
Henry L. Whitfield,1927-03-18T00:00:00Z,Governor of Mississippi
Alexander McNutt,1848-10-22T00:00:00Z,Governor of Mississippi
William Allain,2013-12-02T00:00:00Z,Governor of Mississippi
Dennis Murphree,1949-02-09T00:00:00Z,Governor of Mississippi
Hiram Runnels,1857-12-17T00:00:00Z,Governor of Mississippi
Bill Waller,2011-11-30T00:00:00Z,Governor of Mississippi
Andrew H. Longino,1942-02-24T00:00:00Z,Governor of Mississippi
John Bell Williams,1983-03-25T00:00:00Z,Governor of Mississippi
Kirk Fordice,2004-09-07T00:00:00Z,Governor of Mississippi
Tilghman Tucker,1859-04-03T00:00:00Z,Governor of Mississippi
Paul B. Johnson,1985-10-14T00:00:00Z,Governor of Mississippi
Gerard Brandon,1850-03-28T00:00:00Z,Governor of Mississippi
Martin Sennet Conner,1950-09-16T00:00:00Z,Governor of Mississippi
John Isaac Guion,1855-06-06T00:00:00Z,Governor of Mississippi
James Monroe,1831-07-04T00:00:00Z,Governor of Virginia
John Bigler,1871-11-29T00:00:00Z,Governor of California
J. Neely Johnson,1872-08-31T00:00:00Z,Governor of California
James Rolph,1934-06-02T00:00:00Z,Governor of California
Frederick Low,1894-07-21T00:00:00Z,Governor of California
William Smith,1887-05-18T00:00:00Z,Governor of Virginia
Claude A. Swanson,1939-07-07T00:00:00Z,Governor of Virginia
Gilbert Carlton Walker,1885-05-11T00:00:00Z,Governor of Virginia
James Patton Preston,1843-05-04T00:00:00Z,Governor of Virginia
John Floyd,1837-08-17T00:00:00Z,Governor of Virginia
Robert Brooke,1800-02-27T00:00:00Z,Governor of Virginia
Raymond E. Baldwin,1986-10-04T00:00:00Z,Governor of Connecticut
Clark Bissell,1857-09-15T00:00:00Z,Governor of Connecticut
Joseph Trumbull,1861-08-04T00:00:00Z,Governor of Connecticut
Thomas H. Seymour,1868-09-03T00:00:00Z,Governor of Connecticut
James C. Shannon,1980-03-06T00:00:00Z,Governor of Connecticut
Charles H. Pond,1861-04-28T00:00:00Z,Governor of Connecticut
James E. English,1890-03-02T00:00:00Z,Governor of Connecticut
Culbert Olson,1962-04-13T00:00:00Z,Governor of California
Friend Richardson,1943-09-06T00:00:00Z,Governor of California
George Clement Perkins,1923-02-26T00:00:00Z,Governor of California
James Budd,1908-07-30T00:00:00Z,Governor of California
William E. Smith,1883-02-13T00:00:00Z,Governor of Wisconsin
Lee S. Dreyfus,2008-01-02T00:00:00Z,Governor of Wisconsin
Oscar Rennebohm,1968-10-15T00:00:00Z,Governor of Wisconsin
John J. Blaine,1934-04-16T00:00:00Z,Governor of Wisconsin
Robert M. La Follette,1925-06-18T00:00:00Z,Governor of Wisconsin
Alexander Randall,1872-07-26T00:00:00Z,Governor of Wisconsin
Benjamin Grubb Humphreys,1882-12-20T00:00:00Z,Governor of Mississippi
William C. C. Claiborne,1817-11-23T00:00:00Z,Governor of Mississippi
Albert G. Brown,1880-06-12T00:00:00Z,Governor of Mississippi
Ross Barnett,1987-11-06T00:00:00Z,Governor of Mississippi
Hugh L. White,1965-09-20T00:00:00Z,Governor of Mississippi
Lee M. Russell,1943-05-05T00:00:00Z,Governor of Mississippi
Walter Samuel Goodland,1947-03-12T00:00:00Z,Governor of Wisconsin
"Walter J. Kohler, Jr.",1976-03-21T00:00:00Z,Governor of Wisconsin
John W. Reynolds,2002-01-06T00:00:00Z,Governor of Wisconsin
Gaylord Nelson,2005-07-03T00:00:00Z,Governor of Wisconsin
