fn,firstSentence,confidence
Indobit-A-NYT1990_July to December_1-500-210.txt, described by the National Gallery here as one of the world's leading experts in art restoration
Indobit-A-NYT1989 - March 1 - April 30-124.txt, former assistant director of women's activities for the National Foundation for Infantile Paralysis
Indobit-A-NYT1993 - Jan 1 - Feb 28-42.txt, professor emeritus of history at Smith College
Indobit-A-NYT2000_1-500-247.txt, one of Scandinavia's most prolific contemporary authors
Indobit-A-NYT1981 - July 1 - Sep 30-81.txt, a Hungarian tenor whose opera appearances ranged from New York to Moscow
Indobit-A-NYT1986_1-500-355.txt," who was for more than 45 years the director of the Children's Theater and the Adult Theater of Greenwich House, a community center in lower Manhattan"
Indobit-A-NYT2014_501-1000-43.txt," who collaborated with Carole King to write some of the biggest hits of the 1960s, songs that endured through generations and became classics, including ''Will You Love Me Tomorrow?,'' ''Up on the Roof,'' ''One Fine Day'' and ''The Loco-Motion"
Indobit-A-NYT2002_1001-1513-171.txt," who started the country music radio program ""Louisiana Hayride"" and first said what became the catchphrase ""Elvis has left the building"
Indobit-A-NYT1991 - Jan 1 - Jan 31-110.txt," chef and co-owner of La Maison Blanche, a favored meeting spot for French celebrities and epicures"
Indobit-A-NYT2001 - July 1 - Sep 30-126.txt," the last known British survivor of the ill-fated Allied landings on the Gallipoli Peninsula of Turkey, in World War I"
Indobit-A-NYT1989 - Jan 1 - Feb 28-350.txt, chairman of the Thomas Crimmins Contracting Company
Indobit-A-NYT1986_1001-1500-161.txt, marketing and special projects manager of the International Paper Company
Indobit-A-NYT1987 - Jan 1 - March 31-61.txt," former head of investment research at Goldman, Sachs & Company"
Indobit-A-NYT1994_1001-1500-354.txt," a Spanish writer of complex, intellectual novels and poetry, who was in exile during most of the Franco era"
Indobit-A-NYT1988_1-500-369.txt, professor emeritus at Tufts University School of Medicine who was a prominent researcher in lung disease
Indobit-A-NYT1999 - Oct 1 - Dec 31-230.txt, who founded the Freedom Institute in Manhattan and was one of the first alcoholism counselors in New York to promote intervention as a treatment technique
Indobit-A-NYT2004_501-1000-297.txt," the industrialist whose patronage turned Columbus, Ind., into a showcase for modern architecture"
Indobit-A-NYT1990_July to December_1001-1500-413.txt, Assistant Secretary of Energy for defense programs from 1981 to 1984
Indobit-A-NYT1986_1001-1500-81.txt, who invented rhythm tap dancing and portrayed the original Sportin' Life in George Gershwin's opera ''Porgy and Bess
Indobit-A-NYT1994_1501-2000-334.txt," a pilot who was the only survivor of his torpedo squadron in the battle of Midway, and who drifted in the sea as the most important naval battle of World War II unfolded around him"
Indobit-A-NYT1999 - July 1 - Sep 30-136.txt, one of three middle-management engineers who caused a stir when they quit the General Electric reactor division in 1976 to protest nuclear power
Indobit-A-NYT2014_1-500-165.txt, who joined Bill Haley and His Comets as lead guitarist after the group had helped kick off the rock 'n' roll era with the hit ''Rock Around the Clock'' in the 1950s
Indobit-A-NYT1993 - Jan 1 - Feb 28-87.txt, a Vice President of Afghanistan
Indobit-A-NYT2001 - April 1 - June 30-10.txt, a filmmaker who almost always featured animals in the movies he produced or directed and who won two Academy Awards
Indobit-A-NYT1996_1-500-291.txt, a writer known for his long historical novels
Indobit-A-NYT1984_1001-1500-222.txt, a veteran television and radio personality dubbed by Bing Crosby ''the man with the golden voice
Indobit-A-NYT1996_1501-1947-143.txt," Germany Hans Froemming, winner of 5,592 harness races in a career spanning more than six decades"
Indobit-A-NYT1992_1001-1500-156.txt, whose first novel won the 1934 Pulitzer Prize for literature
Indobit-A-NYT2006_1001-1372-123.txt," Germany, Oct. 28 Maxi Baier, who teamed to win the 1936 Olympic pairs figure skating title at 15"
Indobit-A-NYT2006_501-1000-343.txt, who developed a formulation of penicillin that prolonged its action
Indobit-A-NYT1982_1001-1500-171.txt," who sang with the original Ink Spots, the popular vocal quartet of the 40's"
Indobit-A-NYT2008_1-500-228.txt," whose famed conversational computer program, Eliza, foreshadowed the potential of artificial intelligence, but who grew skeptical about the potential for technology to improve the human condition"
Indobit-A-NYT1983 - April 1 - June 30-59.txt, who was active for many years with the Visiting Nurse Service and other charitable organizations in New York City
Indobit-A-NYT1983 - July 1 - Sep 30-346.txt, Connecticut's Commissioner of Correction
Indobit-A-NYT1994_1501-2000-494.txt, who helped develop surgical procedures to treat electrical disturbances in the heart
Indobit-A-NYT1991 - Nov 1 - Dec 31-150.txt," a television and screen comedy writer whose credits included the films ""Divorce American Style"" and ""Love at First Bite"
Indobit-A-NYT2016_1-500-52.txt,
Indobit-A-NYT2005 - Jan 1 - March 31-329.txt, a surfer who appeared in the cult surfing film ''The Endless Summer'' and was later known among aficionados of the sport for his talent decorating surfboards
Indobit-A-NYT1988_1-500-394.txt, former chairman of Republic National Bank of New York in the mid-1970's
Indobit-A-NYT1991 - Nov 1 - Dec 31-231.txt," a partner in the New York law firm of Skadden, Arps, Slate, Meagher & Flom"
Indobit-A-NYT2002_1001-1513-366.txt,
Indobit-A-NYT2014_1-500-317.txt, a honey-voiced singer who wrote thoughtful songs with deep Southern roots
Indobit-A-NYT1989 - Nov 1 - Dec 31-369.txt," Tennessee's Secretary of State, whose office has been at the center of a bingo and political corruption scandal"
Indobit-A-NYT1988_501-1000-295.txt, an expert in Medieval art history and a professor at New York University
Indobit-A-NYT1995 - May 1 - June 30-320.txt," whose commanding delivery and acerbic wit as the anchor of ""Eyewitness News"" at WABC-TV in New York helped redefine local television news"
Indobit-A-NYT1998_1501-1666-24.txt," a Cuban singer who was known as the Queen of the Guaguanco, or street rumba"
Indobit-A-NYT1994_1001-1500-375.txt, a manager of opera singers and other classical musicians
Indobit-A-NYT1994_1-500-488.txt, a painter
Indobit-A-NYT1988_501-1000-127.txt,
Indobit-A-NYT1991 - July 1 - July 31-157.txt, who as a senior at Yale University in 1935 set a world record of 14 feet 51/8 inches in the pole vault
Indobit-A-NYT2000_1001-1500-484.txt, a professor of Southeast Asian history at Cornell University who did pioneering work on the ancient Malay kingdom of Srivijaya
Indobit-A-NYT1988_501-1000-178.txt, director of the Ladies Professional Golf Association's Chrysler-Plymouth Classic tournament
Indobit-A-NYT2016_1-500-469.txt," whose allusive, jazz-inflected poems interwove his personal experiences as a black man with an expansive view of a history shared by black and white Americans, and who was a finalist for the National Book Award in poetry in 1978"
Indobit-A-NYT2015- July 1 - Sep 30-263.txt, a high-flying guard who scored the most points in Iowa history as he helped the Hawkeyes become a national power in the mid-1980s
Indobit-A-NYT1994_1001-1500-77.txt," who wrote, produced and directed television documentaries"
Indobit-A-NYT1997 - Oct 1 - Dec 31-52.txt, an information theorist at Bell Laboratories whose research is central to the way data move through through a modem or satellite network
Indobit-A-NYT1981 - Jan 1 - March 31-420.txt, an emeritus professor known for his historical studies of the British Labor Party
Indobit-A-NYT1995 - Sep 1 - Oct 31-175.txt, whose accidental discovery of a product he called Kitty Litter made cats more welcome household company and created a half-billion-dollar industry
Indobit-A-NYT1993 - May 1 - June 30-353.txt, a retired packaging-industry executive and former champion bridge player
Indobit-A-NYT1981 - April 1 - June 30-32.txt, who taught speech and theater at Brooklyn College for 44 years and then embarked upon a professional career in the theater
Indobit-A-NYT1990_January to June_1001-1500-375.txt," who wrote the music for ''Brother, Can You Spare a Dime?,'' one of the most enduring songs of the Depression"
Indobit-A-NYT1993 - Nov 1 - Dec 31-175.txt, a pop music business executive in New York for over 25 years
Indobit-A-NYT1993 - July 1 - Aug 31-197.txt," who played Mickey Rooney's older sister in the ""Andy Hardy"" film series"
Indobit-A-NYT1988_501-1000-216.txt, an educator and research scientist
Indobit-A-NYT1988_1-500-418.txt," director of a drug and alcohol counseling program in Millbrook, N.Y."
Indobit-A-NYT1987 - Sep 1 - Oct 31-184.txt, who rejected South African Government attempts to make his tribal homeland of Lebowa an independent nation
Indobit-A-NYT2006_501-1000-237.txt, a former vice chairman of the New York City Planning Commission who regularly fought to preserve open space in urban settings
Indobit-A-NYT1993 - March 1 - April 30-340.txt," whose crusade in investigating his son's disappearance and death in a Chilean coup was portrayed in the film ""Missing"
Indobit-A-NYT1991 - Nov 1 - Dec 31-332.txt, a retired professor of business administration at Harvard
Indobit-A-NYT2004_1001-1263-225.txt, a Chicago bluesman whose slash-and-burn guitar solos and raspy voice carried a fierce blues spirit into a new generation
Indobit-A-NYT1981 - April 1 - June 30-344.txt, a Washington philanthropist
Indobit-A-NYT1984_1-500-30.txt, the former First Lady of Mexico
Indobit-A-NYT1999 - April 1 - June 30-108.txt, a former executive of the American Newspaper Publishers Association who started its foundation and helped it raise millions of dollars for education
Indobit-A-NYT1996_1001-1500-79.txt,
Indobit-A-NYT2005 - Jan 1 - March 31-63.txt, the first white player under contract with the Harlem Globetrotters and the creator of the team's pregame Magic Circle and other routines
Indobit-A-NYT1981 - July 1 - Sep 30-246.txt, a concert clarinetist
Indobit-A-NYT1991 - April 1 - April 30-8.txt,
Indobit-A-NYT1994_2001-2251-188.txt, an expert on tax law and corporate reorganization
Indobit-A-NYT1991 - Aug 1 - Aug 31-119.txt, a leading expert on Caribbean politics
Indobit-A-NYT1991 - March 1 - March 31-238.txt, whose late-night craving for a snack inspired Buffalo chicken wings
Indobit-A-NYT1986_1-500-370.txt, a senior partner in the New York law firm of Teitler & Teitler
Indobit-A-NYT1992_1001-1500-201.txt, a former Republican State Representative from Bridgeport
Indobit-A-NYT1983 - Jan 1 - March 31-457.txt, who for 16 years was the straight-man partner of Gene Klavan on WNEW Radio's ''Klavan and Finch'' early morning show
Indobit-A-NYT1989 - July 1 - Aug 31-243.txt, an emeritus professor of metallurgy at the Polytechnic Institute of New York and co-founder of the International Precious Metals Institute
Indobit-A-NYT2013-April 1 - June 30-235.txt, who wielded an unorthodox swing in becoming a leading player on the PGA Tour in the 1960s and a dominant one in the early years of senior play
Indobit-A-NYT2001 - Jan 1 - March 31-308.txt,
Indobit-A-NYT1996_1501-1947-236.txt, who founded the sporting goods and athletic equipment company that bears his name
Indobit-A-NYT1996_1001-1500-323.txt, who played two years for the Giants and helped the football team win a championship in 1934
Indobit-A-NYT1989 - March 1 - April 30-85.txt, who served eight years in the House of Representatives from a district that had been represented by both his parents
Indobit-A-NYT1993 - March 1 - April 30-10.txt, who directed the first science-fiction movies of the monster Godzilla stomping on landmarks
Indobit-A-NYT1984_501-1000-277.txt," 46 years old, the unknowing subject of an Army LSD experiment who received $625,000 from Congress after filing a lawsuit"
Indobit-A-NYT1990_January to June_501-1000-450.txt, a film maker who documented the Spanish Civil War and the rise and fall of Nazi Germany
Indobit-A-NYT2012_1-500-227.txt,
Indobit-A-NYT1991 - Jan 1 - Jan 31-140.txt, a teacher of Russian at Middlebury College before her retirement in 1968
Indobit-A-NYT1998_1501-1666-115.txt, associate director of the Museum of Contemporary Art in Chicago
Indobit-A-NYT1987 - April 1 - June 30-43.txt, chairman of the Adidas sporting goods company since 1984
Indobit-A-NYT1984_1-500-478.txt, a right wing who played on 9 Stanley Cup-winning teams in his 15 seasons with the Montreal Canadiens
Indobit-A-NYT1994_501-1000-187.txt," the singer for the British rhythm-and-blues band Dr. Feelgood, which he founded"
Indobit-A-NYT1991 - April 1 - April 30-75.txt, who directed operations abroad for Exxon
Indobit-A-NYT1985 - Oct 1 - Dec 31-359.txt, who was the corporate secretary of the Carnegie Corporation of New York from 1954 to 1975
Indobit-A-NYT1987 - Sep 1 - Oct 31-94.txt, the political strategist behind Brazil's 1964-1985 military Government
Indobit-A-NYT2013- Jan 1 - March 31-4.txt," a singer whose dispute with one guitarist led him to hire another, Frank Zappa, with whom he went on to form the avant-garde rock group the Mothers of Invention"
Indobit-A-NYT2000_1001-1500-235.txt," a photographer noted for lyrical composition and startling use of color and light in a vast body of work created during a five-decade collaboration with her husband, Angelo Lomeo"
Indobit-A-NYT2017-April 1 - June 30-161.txt," who shaped the images that helped elect three Republican presidents and then became a dominant, often-intimidating force in American conservative politics at the helm of Fox News until he was forced out last year in a sexual harassment scandal"
Indobit-A-NYT2000_1-500-10.txt, the mother of Spain's King Juan Carlos
Indobit-A-NYT1989 - Nov 1 - Dec 31-334.txt, the first bone marrow recipient to be matched with a donor through a national registry
Indobit-A-NYT1982_1-500-225.txt, who often appeared in films directed by Akira Kurosawa
Indobit-A-NYT2005 - Jan 1 - March 31-120.txt, a Holocaust survivor who became one of Israel's best-known humorists with his satirical books and movies popular here and in Europe
Indobit-A-NYT1993 - Jan 1 - Feb 28-227.txt," who wrote the screenplay for ""I Was a Teen-Age Werewolf,"" ""Horrors of the Black Museum"" and other horror films"
Indobit-A-NYT1990_July to December_501-1000-466.txt, retired chairman of the Hunter College German department
Indobit-A-NYT1981 - July 1 - Sep 30-73.txt," co-founder and former executive director of Ducks Unlimited, the nonprofit conservation organization"
Indobit-A-NYT1995 - Jan 1 - Feb 28-306.txt, known as Howie the Harp to the mentally ill and homeless to whom he committed his life after spending time in institutions for the emotionally disturbed while a teen-ager
Indobit-A-NYT1990_July to December_501-1000-289.txt," the last surviving eldress of the United Society of Believers in Christ's Second Coming, known as the Shaker Society"
Indobit-A-NYT1982_1001-1500-195.txt,
Indobit-A-NYT1981 - Jan 1 - March 31-273.txt, a Villanova University football star in the early 1970's
Indobit-A-NYT1986_1-500-262.txt," the first fighter to go the 15-round distance with Joe Louis, the former world heavyweight champion"
Indobit-A-NYT1991 - Feb 1 - Feb 28-41.txt," a retired chairman of the chemistry department at Lehman College, part of the City University of New York"
Indobit-A-NYT1980_501-904-264.txt, chairman of the Continental Radiant Glass Heating Corporation
Indobit-A-NYT2010_501-1000-422.txt," a pesky, slap-hitting shortstop in the Negro leagues who created a signing feud between the Yankees and the Cleveland Indians after he hit .402 for the Birmingham Black Barons in 1948, a circumstance that may have cost him a major league career"
Indobit-A-NYT2015- July 1 - Sep 30-73.txt, a Grammy-winning songwriter whose hits included ''Always on My Mind'' and ''The Letter
Indobit-A-NYT1992_1001-1500-267.txt, one of the oldest survivors of the internment of Japanese-Americans during World War II
Indobit-A-NYT1991 - Jan 1 - Jan 31-108.txt, professor emeritus of speech and audiology at the City University of New York
Indobit-A-NYT1997 - Jan 1 - March 31-156.txt," a writer of the hit song ""Tie a Yellow Ribbon Round the Old Oak Tree"
Indobit-A-NYT1990_July to December_1001-1500-92.txt, who played for five major league baseball teams in 18 years and served four years as a Snohomish County commissioner
Indobit-A-NYT2011-April 1 - June 30-64.txt," who created a wide array of familiar logos and brand identities for dozens of companies and nonprofit organizations, including Apple Bank, Goodwill Industries, Kodak and CVS Pharmacy"
Indobit-A-NYT1997 - Jan 1 - March 31-239.txt, whose Western sketches on book covers and national magazines won wide popularity
Indobit-A-NYT1995 - Jan 1 - Feb 28-313.txt, a retired New York Law School professor and an authority on personal injury law
Indobit-A-NYT1993 - Jan 1 - Feb 28-350.txt, a former New York City Police Department inspector
Indobit-A-NYT1994_2001-2251-204.txt, an arranger for big bands and a respected counselor on alcoholism
Indobit-A-NYT1981 - Jan 1 - March 31-103.txt," a partner in the Manhattan law firm of Phillips, Nizer, Benjamin, Krim & Ballon"
Indobit-A-NYT1996_1001-1500-293.txt," who wrote for radio, television and the stage"
Indobit-A-NYT1984_501-1000-444.txt," a writer who won three Emmys in a career that spanned radio, feature films and television"
Indobit-A-NYT2017-Jan 1 - March 31-174.txt," who dressed the Beatles and the Rolling Stones in flamboyant, boldly colored designs from his avant-garde London men's boutique and briefly became part of the city's swinging fashion scene in the 1960s"
Indobit-A-NYT2006_501-1000-334.txt, queen of New Zealand's indigenous Maori population
Indobit-A-NYT1990_January to June_1001-1500-448.txt, a part-owner of two professional sports teams in Chicago
Indobit-A-NYT2004_501-1000-411.txt, the songwriter who wrote the international children's favorite ''All I Want for Christmas Is My Two Front Teeth
Indobit-A-NYT1986_1-500-112.txt, retired
Indobit-A-NYT1989 - Sep 1 - Oct 31-231.txt, a fiddler who performed on some of the earliest recordings of Cajun music
Indobit-A-NYT2004_501-1000-17.txt, an expert on Hebrew who helped prove the antiquity of the Dead Sea Scrolls
Indobit-A-NYT1985 - July 1 - Sep 30-355.txt," a retired senior partner of the New York law firm of Thacher, Proffitt & Wood"
Indobit-A-NYT1994_2001-2251-84.txt, a composer and teacher who founded the River City Brass Band in 1981
Indobit-A-NYT1992_1-500-437.txt, a leading scholar of Jewish mystical thought
Indobit-A-NYT1990_July to December_1-500-428.txt, Czechoslvakia's Minister of Foreign Trade
Indobit-A-NYT2003 - Jan 1 - March 31-48.txt, a former middleweight champion who twice beat an aging Sugar Ray Robinson in 1960
Indobit-A-NYT2006_1001-1372-48.txt, who shared her story of exile as a leprosy patient on a remote peninsula of Molokai island and strove to dispel myths about the disease
Indobit-A-NYT1983 - Oct 1 - Dec 31-127.txt, who invented the Popsicle on an extraordinarily cold night in San Francisco in 1905
Indobit-A-NYT1984_501-1000-418.txt," a former managing partner of a major Cleveland law firm, who was prominent in civic affairs"
Indobit-A-NYT1985 - April 1 - June 30-101.txt, who on April 14 became the world's fifth recipient of a permanent artificial heart
Indobit-A-NYT1983 - Oct 1 - Dec 31-81.txt," manager of the design automation systems group at the Thomas J. Watson Research Center of the International Business Machines Corporation, in Yorktown Heights, N.Y."
Indobit-A-NYT1988_1501-1774-160.txt, a philanthropist
Indobit-A-NYT2005 - Oct 1 - Dec 31-20.txt, the former director of one of the nation's major solar observatories and a pioneer in the development of optical solar telescopes
Indobit-A-NYT2006_501-1000-331.txt," a Cuban emigre whose Manhattan restaurant, Victor's Cafe, was a celebrated gathering place during its heyday in the 1960's and 70's"
Indobit-A-NYT1994_1001-1500-402.txt, a Russian writer
Indobit-A-NYT1996_501-1000-284.txt, who mixed a bit of a brogue and a fount of Irish lore into the elixir that charmed thousands of television viewers in his 41 years as the anchor of WPIX's coverage of St. Patrick's Day events
Indobit-A-NYT1989 - May 1 - June 30-214.txt, a former Congressman who represented the Texas district now served by House Speaker Jim Wright
Indobit-A-NYT1996_1501-1947-25.txt, a British muralist who created what is believed to be the largest mural in the world
Indobit-A-NYT1987 - April 1 - June 30-202.txt," chairman of the Department of Theatre Arts at Ithaca College in Ithaca, N.Y., was among the 183 people killed in the crash of a LOT Polish airlines plane near Warsaw on May 9 while en route to New York"
Indobit-A-NYT1994_1501-2000-372.txt," a rhythm-and-blues singer whose version of the song ""Kansas City,"" became one of the most famous hits of the early rock-and-roll era"
Indobit-A-NYT1986_1-500-306.txt," who wrote the lyrics for ''Breaking Up Is Hard to Do,'' ''Happy Birthday, Sweet Sixteen,'' ''Love Will Keep Us Together'' and more than 450 other songs"
Indobit-A-NYT1999 - April 1 - June 30-223.txt, a lyric soprano who sang at the Metropolitan Opera and the New York City Opera in the 1950's and 60's
Indobit-A-NYT1983 - April 1 - June 30-55.txt, the northern Kentucky restaurateur who was the breeder of the champion race horse Seattle Slew
Indobit-A-NYT1990_January to June_1-500-219.txt, one of the original members of the rock group Lynyrd Skynyrd
Indobit-A-NYT2013- July 1 - Sep 30-269.txt, Mario Batali received a letter from Marcella Hazan after he had made risotto in a saut pan on his television show
Indobit-A-NYT1989 - Nov 1 - Dec 31-29.txt, a painter admired for his deft re-combination of elements from the classic era of European modernism
Indobit-A-NYT1995 - March 1 - April 30-24.txt, who sang and danced in a number of Broadway musicals
Indobit-A-NYT1983 - Oct 1 - Dec 31-22.txt," 65, Dies; SpecialistinAcousticDesign Robert B. Newman, who designed the acoustics for concert halls all over the world"
Indobit-A-NYT1988_1-500-218.txt, the manager of the Fourcade Gallery in Manhattan for 14 years until last October
Indobit-A-NYT2009 - Oct 1 - Dec 31-290.txt," Russia Isaac Schwartz, who composed the scores for some of the most popular movies of the Soviet era"
Indobit-A-NYT2001 - Oct 1 - Dec 31-143.txt," a philanthropist and the matriarch of the Limited Inc., a multibillion-dollar retail chain that specializes in women's clothing"
Indobit-A-NYT1991 - March 1 - March 31-189.txt, one of the men credited with founding Dairy Queen stores
Indobit-A-NYT2009 - Jan 1 - March 31-215.txt," who with his wife Laura founded Laura Ashley, the international company that fashioned tasteful, mostly floral-print women's clothing and an array of housewares that evoked the genteel aspects of the 19th-century English countryside"
Indobit-A-NYT1994_1501-2000-189.txt, the man who would have been Kaiser if Germany still had a throne
Indobit-A-NYT2000_1501-1565-38.txt," who played Lightnin' on the ""Amos 'n' Andy"" television show"
Indobit-A-NYT1996_501-1000-369.txt, who briefly ruled Uganda after seizing power in a military coup in 1985 before being toppled himself
Indobit-A-NYT1981 - April 1 - June 30-472.txt," a former partner of Cowen & Company, a brokerage firm"
Indobit-A-NYT1984_1001-1500-451.txt, who provided the gravel voice of Popeye the Sailor Man and other cartoon characters
Indobit-A-NYT1989 - Sep 1 - Oct 31-301.txt, a Yugoslav-born writer and essayist whose works blended fact and fiction to describe the horror of the Holocaust and Stalin's forced-labor camps
Indobit-A-NYT2016_501-1000-407.txt," the blues, soul and gospel singer known as the Queen of Beale Street"
Indobit-A-NYT2005 - April 1 - June 30-193.txt, who provided the long
Indobit-A-NYT1989 - May 1 - June 30-188.txt, a research scientist and former director of the office of research administration at Princeton University
Indobit-A-NYT1991 - Jan 1 - Jan 31-70.txt, a convicted Belgian Nazi war criminal who spent 10 years working for United States intelligence after World War II
Indobit-A-NYT1986_501-1000-211.txt, the first woman to receive an artificial heart
Indobit-A-NYT1986_501-1000-380.txt, the former commissioner of education in Connecticut and superintendent of schools in Philadelphia
Indobit-A-NYT1986_501-1000-29.txt, whose writings exploring alienation helped make him one of the best-known contemporary Italian writers
Indobit-A-NYT1994_501-1000-83.txt, a former United States Attorney in Vermont who had been an assistant United States Attorney in Manhattan
