fn,date,lat,lon,cname
404,Wayne State University
411,Long Island University
412,Millsaps College
412,Stanford University
412,University of Mississippi
414,Parsons School of Design
414,University of Oklahoma
414,Vassar College
415,University of Arizona
416,University of Colorado at Denver
418,University of Pennsylvania
420,Harvard University
422,Lee University
422,Washington and Lee University
428,Hebrew University of Jerusalem
429,Bank Street College of Education
432,University of Miami
435,New York Law School
435,University of Texas
435,University of Texas at Austin
440,Boston College
440,St. John's Seminary
441,Brown University
444,Calvin College
444,Michigan State University
448,Wayne State University
450,Stanford University
451,York University
451,New York University
451,Yale University
451,York University
453,California Institute of Technology
453,University of Mary
453,University of Pennsylvania
455,Xavier University
455,Cornell University
455,Xavier University
456,University of Southern California
457,University of Denver
457,Yale University
459,Columbia University
459,University of Washington
461,Columbia University
461,University of Denver
462,University of Turin
462,Columbia University
462,University of Notre Dame
464,Georgetown University
471,Howard University
471,St. Joseph's College
473,York University
473,University of Cambridge
473,Beirut Arab University
473,New York University
473,"University of California, Santa Barbara"
473,York University
477,York University
477,New York University
477,Pace University
477,York University
478,York University
478,New York University
478,York University
479,Massachusetts Institute of Technology
480,Parsons School of Design
485,University of Kansas
485,University of Washington
486,American University
486,American University
491,Wayne State University
493,Yale University
501,Academy of Arts
504,Bowie State University
504,Howard University
504,Manhattanville College
504,Morgan State University
504,University of Chicago
508,University of Pennsylvania
509,Sarah Lawrence College
510,George Washington University
511,Stanford University
514,Queens College
518,University of Cincinnati
521,Columbia College
522,Princeton University
524,University of Alberta
524,Ohio State University
526,Columbia College
526,Cornell University
527,Massachusetts Institute of Technology
528,Southern Methodist University
529,York University
529,Columbia University
529,New York University
529,York University
532,Syracuse University
534,University of Pennsylvania
535,National University
535,National University
535,George Washington University
535,National University
536,Duke University
536,Pomona College
536,San Diego State University
536,"University of California, Los Angeles"
536,University of Connecticut
538,City University
538,City University
538,City University
538,Oklahoma City University
539,McGill University
539,College of William and Mary
542,Cornell University
542,United States Naval Academy
544,McGill University
546,Cornell University
552,Cornell University
553,Columbia College
553,York University
553,Columbia University
553,New York University
553,University of Illinois
553,York University
554,Boston University
554,Southern Methodist University
556,Cornell University
556,Ithaca College
556,West Virginia University
558,Brown University
558,Columbia University
558,University of Illinois
559,Syracuse University
565,Harvard University
566,Harvard University
566,Stanford University
567,Niagara University
568,Oberlin College
568,"University of California, Berkeley"
572,Grinnell College
582,University of Chicago
583,Academy of Fine Arts
584,Montana State University
586,University of Pennsylvania
587,New England Conservatory of Music
592,Howard University
593,American University
593,American University
593,Brooklyn Law School
596,City University
596,City University
596,City University
596,Massachusetts Institute of Technology
598,Columbia University
598,Williams College
601,Duke University
601,Fordham University
602,Colgate University
605,Brandeis University
608,George Washington University
608,Meredith College
612,Brooklyn Law School
615,Columbia University
615,Queens College
615,Reed College
616,University of Vermont
617,Emory University
621,University of Notre Dame
625,Howard University
626,Princeton University
626,University of Colorado at Boulder
627,University of Virginia
632,University of Illinois
633,Greensboro College
633,Salem College
633,Wake Forest University
634,San Francisco Art Institute
634,University of Mississippi
634,Yale University
637,Vassar College
644,Harvard University
644,Wesleyan University
646,Academy of Fine Arts
646,Columbia University
647,Georgetown University
647,University of Washington
649,Michigan State University
650,Academy of Arts
652,University of Chicago
652,University of Delaware
652,Wesleyan University
654,York University
654,New York University
654,University of Chicago
654,Vassar College
654,York University
655,Bard College
657,Princeton University
658,University of Texas
664,York University
664,St. John's University
664,New York University
664,St. John's University
664,York University
665,York University
665,York University
666,University of Manitoba
666,University of Saskatchewan
666,University of Arizona
666,Yeshiva University
667,Fordham University
669,Stanford University
671,Institute of Public Administration
671,Cornell University
673,York University
673,New York University
673,York University
677,York University
677,Bennington College
677,New York University
677,York University
680,Stanford University
681,Albany Law School
681,Le Moyne College
683,Columbia University
684,York University
684,Duke University
684,New York University
684,York University
686,Columbia University
687,Syracuse University
690,Columbia University
691,York University
691,Cornell University
691,Harvard University
691,New York University
691,Tufts University
691,York University
692,Boston University
692,Clark University
693,University of London
697,Birmingham-Southern College
701,Vassar College
704,University of Toronto
704,St. Michael's College
705,University of Florida
706,University of the Punjab
707,York University
707,New York University
707,York University
708,Northwestern University
710,Harvard University
710,Juniata College
711,City University
711,City University
711,City University
714,University of Washington
718,Boston University
718,Smith College
719,York University
719,York University
721,Cornell University
721,"University of California, Berkeley"
722,University of Southern California
726,DePaul University
729,University of Pennsylvania
735,Columbia College
735,Cornell University
735,Harvard University
736,King's College
736,King's College
738,St. John's University
738,St. John's University
738,University of Iowa
740,York University
740,New York University
740,Pratt Institute
740,York University
742,York University
742,Case Western Reserve University
742,Columbia University
742,New York University
742,University of Rochester
742,York University
744,Drexel University
744,Lycoming College
747,Cornell University
747,Harvard University
748,University of Utah
751,Columbia University
754,Hebrew University of Jerusalem
754,Lund University
754,Columbia University
754,"University of California, Berkeley"
755,Simmons College
755,Williams College
758,Columbia University
758,Stanford University
760,Emory University
762,University of Mary
764,University of Chicago
764,University of Pennsylvania
766,Dillard University
769,Yale University
770,Brown University
770,Harvard University
770,Yale University
771,Brown University
771,University of Kansas
772,Victoria University
772,Princeton University
772,University of Rochester
774,Columbia University
779,Pennsylvania State University
779,University of Chicago
783,Northeastern University
783,Northeastern University
783,Syracuse University
788,University of Florida
789,California Institute of Technology
792,University of Kentucky
792,University of Pennsylvania
793,Clark University
803,Duke University
806,Fordham University
811,Harvard University
815,York University
815,Harvard University
815,Johns Hopkins University
815,New York University
815,Princeton University
815,York University
817,Emory University
817,Vanderbilt University
822,Princeton University
824,Stanford University
824,Washington University in St. Louis
825,York University
825,Connecticut College
825,New York University
825,York University
828,University of Texas
832,University of Texas
832,Vanderbilt University
836,Columbia University
836,Long Island University
836,University of Denver
836,University of Virginia
837,Cornell University
837,New York Medical College
837,Pennsylvania State University
841,Princeton University
843,Columbia University
843,University of Dayton
845,Georgetown University
845,George Washington University
847,Baylor University
851,University of Pennsylvania
853,Lee University
853,Washington and Lee University
855,University of Illinois
856,Police Academy
860,University of Iowa
862,Princeton University
863,Brandeis University
864,Columbia College
864,Columbia University
869,University of the South
877,St. John's University
877,St. John's University
879,Swarthmore College
879,University of Pennsylvania
881,Columbia University
881,Johns Hopkins University
883,Georgetown University
884,Dartmouth College
885,York University
885,New York University
885,York University
889,Vassar College
890,Ithaca College
892,University of Chicago
895,Columbia University
897,Bennington College
900,Illinois Wesleyan University
900,Wesleyan University
902,Georgetown University
903,Waseda University
